ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-15T07:43:31.149Z hisSize:52740 tz:"Bucharest" precision:1 roomRef:@p:linkEdge:r:2d996b84-7f20b3bf "Site B Room 1 Office" lorawanPoint his id:@p:linkEdge:r:2d9972a1-28df3602 "Site B Room 1 Office AQ Temperature" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:48:15+02:00 Bucharest innLinkEdge kind:"Number" unit:"°C" amSensorAM319ModelId:"_amSensorAM319_point:temperature" sensor cur amSensorRef:@p:linkEdge:r:2d9972a1-07d784a7 "Site B Room 1 Office AQ" curStatus:"ok" point curVal:26.5°C disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9972a1-53363459 "1 Office AQ" navName:"Temperature" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9972a1-07d784a7 "Site B Room 1 Office AQ" temp hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"temperature" floorRef:@p:linkEdge:r:2d996b5e-526d9983 "p:linkEdge:r:2d996b5e-526d9983"
2025-01-01T15:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-01T15:30:00+02:00 Bucharest,23.899999618530273°C
2025-01-01T15:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-01T16:00:00+02:00 Bucharest,23.799999237060547°C
2025-01-01T16:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-01T16:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-01T16:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-01T17:00:00+02:00 Bucharest,23.799999237060547°C
2025-01-01T17:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-01T17:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-01T17:36:45+02:00 Bucharest,23.700000762939453°C
2025-01-01T17:45:00+02:00 Bucharest,23.700000762939453°C
2025-01-01T18:00:00+02:00 Bucharest,23.700000762939453°C
2025-01-01T18:15:00+02:00 Bucharest,23.700000762939453°C
2025-01-01T18:30:00+02:00 Bucharest,23.700000762939453°C
2025-01-01T18:45:00+02:00 Bucharest,23.700000762939453°C
2025-01-01T19:00:00+02:00 Bucharest,23.700000762939453°C
2025-01-01T19:11:45+02:00 Bucharest,23.799999237060547°C
2025-01-01T19:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-01T19:30:00+02:00 Bucharest,23.899999618530273°C
2025-01-01T19:41:45+02:00 Bucharest,24°C
2025-01-01T19:45:00+02:00 Bucharest,24°C
2025-01-01T20:00:00+02:00 Bucharest,24°C
2025-01-01T20:11:45+02:00 Bucharest,24.100000381469727°C
2025-01-01T20:15:00+02:00 Bucharest,24.100000381469727°C
2025-01-01T20:30:00+02:00 Bucharest,24.100000381469727°C
