ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 cur amSensorRef:@p:linkEdge:r:2d9aaf5a-6e83ede1 "Site B Room 2 AQ" mod:2024-04-12T14:40:32.921Z hisSize:85654 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b8c-aab4b9e7 "Site B Room 2nca" co2 lorawanPoint curStatus:"ok" amSensorAM107ModelId:"_amSensorAM107_point:co2" point his curVal:1272ppm disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9aaf5a-8fb5e82f "2 AQ" navName:"CO2" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9aaf5a-6e83ede1 "Site B Room 2 AQ" id:@p:linkEdge:r:2d9aaf5a-34eee513 "Site B Room 2 AQ CO2" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:47:48+02:00 Bucharest hisStatus:"ok" innLinkEdge kind:"Number" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"co2" unit:"ppm" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba" sensor
2025-01-01T12:41:18+02:00 Bucharest,3002ppm
2025-01-01T12:45:00+02:00 Bucharest,3002ppm
2025-01-01T13:00:00+02:00 Bucharest,3002ppm
2025-01-01T13:01:17+02:00 Bucharest,2977ppm
2025-01-01T13:11:18+02:00 Bucharest,2938ppm
2025-01-01T13:15:00+02:00 Bucharest,2938ppm
2025-01-01T13:30:00+02:00 Bucharest,2938ppm
2025-01-01T13:31:17+02:00 Bucharest,2932ppm
2025-01-01T13:45:00+02:00 Bucharest,2932ppm
2025-01-01T13:51:18+02:00 Bucharest,2894ppm
2025-01-01T14:00:00+02:00 Bucharest,2894ppm
2025-01-01T14:11:17+02:00 Bucharest,2898ppm
2025-01-01T14:15:00+02:00 Bucharest,2898ppm
2025-01-01T14:21:18+02:00 Bucharest,2914ppm
2025-01-01T14:30:00+02:00 Bucharest,2914ppm
2025-01-01T14:45:00+02:00 Bucharest,2914ppm
2025-01-01T15:00:00+02:00 Bucharest,2914ppm
2025-01-01T15:11:17+02:00 Bucharest,1838ppm
2025-01-01T15:15:00+02:00 Bucharest,1838ppm
2025-01-01T15:30:00+02:00 Bucharest,1838ppm
2025-01-01T15:31:18+02:00 Bucharest,1349ppm
2025-01-01T15:45:00+02:00 Bucharest,1349ppm
2025-01-01T16:00:00+02:00 Bucharest,1349ppm
2025-01-01T16:01:18+02:00 Bucharest,927ppm
2025-01-01T16:11:18+02:00 Bucharest,887ppm
2025-01-01T16:15:00+02:00 Bucharest,887ppm
2025-01-01T16:21:17+02:00 Bucharest,805ppm
2025-01-01T16:30:00+02:00 Bucharest,805ppm
2025-01-01T16:45:00+02:00 Bucharest,805ppm
2025-01-01T17:00:00+02:00 Bucharest,805ppm
2025-01-01T17:11:18+02:00 Bucharest,749ppm
2025-01-01T17:15:00+02:00 Bucharest,749ppm
2025-01-01T17:30:00+02:00 Bucharest,749ppm
2025-01-01T17:45:00+02:00 Bucharest,749ppm
2025-01-01T17:51:18+02:00 Bucharest,739ppm
2025-01-01T18:00:00+02:00 Bucharest,739ppm
2025-01-01T18:15:00+02:00 Bucharest,739ppm
2025-01-01T18:30:00+02:00 Bucharest,739ppm
2025-01-01T18:45:00+02:00 Bucharest,739ppm
2025-01-01T18:51:18+02:00 Bucharest,720ppm
2025-01-01T19:00:00+02:00 Bucharest,720ppm
2025-01-01T19:15:00+02:00 Bucharest,720ppm
2025-01-01T19:30:00+02:00 Bucharest,720ppm
2025-01-01T19:31:18+02:00 Bucharest,732ppm
2025-01-01T19:41:17+02:00 Bucharest,740ppm
2025-01-01T19:45:00+02:00 Bucharest,740ppm
2025-01-01T20:00:00+02:00 Bucharest,740ppm
2025-01-01T20:11:17+02:00 Bucharest,755ppm
2025-01-01T20:15:00+02:00 Bucharest,755ppm
2025-01-01T20:30:00+02:00 Bucharest,755ppm
2025-01-01T20:45:00+02:00 Bucharest,755ppm
2025-01-01T20:51:17+02:00 Bucharest,794ppm
2025-01-01T21:00:00+02:00 Bucharest,794ppm
2025-01-01T21:01:18+02:00 Bucharest,800ppm
2025-01-01T21:11:18+02:00 Bucharest,813ppm
2025-01-01T21:15:00+02:00 Bucharest,813ppm
2025-01-01T21:30:00+02:00 Bucharest,813ppm
2025-01-01T21:45:00+02:00 Bucharest,813ppm
2025-01-01T22:00:00+02:00 Bucharest,813ppm
2025-01-01T22:15:00+02:00 Bucharest,813ppm
2025-01-01T22:30:00+02:00 Bucharest,813ppm
2025-01-01T22:45:00+02:00 Bucharest,813ppm
2025-01-01T22:51:18+02:00 Bucharest,844ppm
2025-01-01T23:00:00+02:00 Bucharest,844ppm
2025-01-01T23:15:00+02:00 Bucharest,844ppm
2025-01-01T23:30:00+02:00 Bucharest,844ppm
2025-01-01T23:45:00+02:00 Bucharest,844ppm
2025-01-02T00:00:00+02:00 Bucharest,844ppm
2025-01-02T00:15:00+02:00 Bucharest,844ppm
2025-01-02T00:30:00+02:00 Bucharest,844ppm
2025-01-02T00:45:00+02:00 Bucharest,844ppm
2025-01-02T00:51:17+02:00 Bucharest,871ppm
2025-01-02T01:00:00+02:00 Bucharest,871ppm
2025-01-02T01:11:27+02:00 Bucharest,866ppm
2025-01-02T01:15:00+02:00 Bucharest,866ppm
2025-01-02T01:21:17+02:00 Bucharest,873ppm
2025-01-02T01:30:00+02:00 Bucharest,873ppm
2025-01-02T01:41:27+02:00 Bucharest,871ppm
2025-01-02T01:45:00+02:00 Bucharest,871ppm
2025-01-02T02:00:00+02:00 Bucharest,871ppm
2025-01-02T02:01:17+02:00 Bucharest,868ppm
2025-01-02T02:11:18+02:00 Bucharest,869ppm
2025-01-02T02:15:00+02:00 Bucharest,869ppm
2025-01-02T02:30:00+02:00 Bucharest,869ppm
2025-01-02T02:31:17+02:00 Bucharest,885ppm
2025-01-02T02:41:27+02:00 Bucharest,876ppm
2025-01-02T02:45:00+02:00 Bucharest,876ppm
2025-01-02T03:00:00+02:00 Bucharest,876ppm
2025-01-02T03:01:27+02:00 Bucharest,879ppm
2025-01-02T03:11:17+02:00 Bucharest,866ppm
2025-01-02T03:15:00+02:00 Bucharest,866ppm
2025-01-02T03:30:00+02:00 Bucharest,866ppm
2025-01-02T03:41:17+02:00 Bucharest,867ppm
2025-01-02T03:45:00+02:00 Bucharest,867ppm
2025-01-02T04:00:00+02:00 Bucharest,867ppm
2025-01-02T04:15:00+02:00 Bucharest,867ppm
2025-01-02T04:21:27+02:00 Bucharest,830ppm
2025-01-02T04:30:00+02:00 Bucharest,830ppm
2025-01-02T04:31:18+02:00 Bucharest,825ppm
2025-01-02T04:41:17+02:00 Bucharest,815ppm
2025-01-02T04:45:00+02:00 Bucharest,815ppm
2025-01-02T05:00:00+02:00 Bucharest,815ppm
2025-01-02T05:01:18+02:00 Bucharest,796ppm
2025-01-02T05:11:17+02:00 Bucharest,793ppm
2025-01-02T05:15:00+02:00 Bucharest,793ppm
2025-01-02T05:21:17+02:00 Bucharest,786ppm
2025-01-02T05:30:00+02:00 Bucharest,786ppm
2025-01-02T05:41:18+02:00 Bucharest,772ppm
2025-01-02T05:45:00+02:00 Bucharest,772ppm
2025-01-02T06:00:00+02:00 Bucharest,772ppm
2025-01-02T06:11:18+02:00 Bucharest,745ppm
2025-01-02T06:15:00+02:00 Bucharest,745ppm
2025-01-02T06:21:17+02:00 Bucharest,744ppm
2025-01-02T06:30:00+02:00 Bucharest,744ppm
2025-01-02T06:41:18+02:00 Bucharest,745ppm
2025-01-02T06:45:00+02:00 Bucharest,745ppm
2025-01-02T07:00:00+02:00 Bucharest,745ppm
2025-01-02T07:15:00+02:00 Bucharest,745ppm
2025-01-02T07:21:18+02:00 Bucharest,738ppm
2025-01-02T07:30:00+02:00 Bucharest,738ppm
2025-01-02T07:45:00+02:00 Bucharest,738ppm
2025-01-02T07:51:18+02:00 Bucharest,729ppm
2025-01-02T08:00:00+02:00 Bucharest,729ppm
2025-01-02T08:11:17+02:00 Bucharest,722ppm
2025-01-02T08:15:00+02:00 Bucharest,722ppm
2025-01-02T08:30:00+02:00 Bucharest,722ppm
2025-01-02T08:41:17+02:00 Bucharest,694ppm
2025-01-02T08:45:00+02:00 Bucharest,694ppm
2025-01-02T08:51:18+02:00 Bucharest,690ppm
2025-01-02T09:00:00+02:00 Bucharest,690ppm
2025-01-02T09:01:18+02:00 Bucharest,687ppm
2025-01-02T09:11:17+02:00 Bucharest,681ppm
2025-01-02T09:15:00+02:00 Bucharest,681ppm
2025-01-02T09:30:00+02:00 Bucharest,681ppm
2025-01-02T09:41:17+02:00 Bucharest,684ppm
2025-01-02T09:45:00+02:00 Bucharest,684ppm
2025-01-02T10:00:00+02:00 Bucharest,684ppm
2025-01-02T10:01:18+02:00 Bucharest,692ppm
2025-01-02T10:15:00+02:00 Bucharest,692ppm
2025-01-02T10:30:00+02:00 Bucharest,692ppm
2025-01-02T10:31:17+02:00 Bucharest,698ppm
2025-01-02T10:45:00+02:00 Bucharest,698ppm
2025-01-02T10:51:17+02:00 Bucharest,702ppm
2025-01-02T11:00:00+02:00 Bucharest,702ppm
2025-01-02T11:01:17+02:00 Bucharest,711ppm
2025-01-02T11:11:18+02:00 Bucharest,713ppm
2025-01-02T11:15:00+02:00 Bucharest,713ppm
2025-01-02T11:30:00+02:00 Bucharest,713ppm
2025-01-02T11:31:17+02:00 Bucharest,712ppm
2025-01-02T11:45:00+02:00 Bucharest,712ppm
2025-01-02T12:00:00+02:00 Bucharest,712ppm
2025-01-02T12:01:17+02:00 Bucharest,701ppm
2025-01-02T12:11:17+02:00 Bucharest,700ppm
2025-01-02T12:15:00+02:00 Bucharest,700ppm
2025-01-02T12:30:00+02:00 Bucharest,700ppm
2025-01-02T12:45:00+02:00 Bucharest,700ppm
2025-01-02T12:51:18+02:00 Bucharest,679ppm
2025-01-02T13:00:00+02:00 Bucharest,679ppm
