ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-12T14:42:27.189Z hisSize:48608 tz:"Bucharest" precision:1 roomRef:@p:linkEdge:r:2d996b95-ed5a18fd "Site B Room 3" lorawanPoint his id:@p:linkEdge:r:2d9ab1c2-67e6b723 "Site B Room 3 AQ Temperature" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:46:00+02:00 Bucharest innLinkEdge kind:"Number" unit:"°C" sensor cur amSensorRef:@p:linkEdge:r:2d9ab1c2-a2fb47fa "Site B Room 3 AQ" curStatus:"ok" amSensorAM107ModelId:"_amSensorAM107_point:temperature" point curVal:24.4°C disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9ab1c2-71da2caa "3 AQ" navName:"Temperature" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9ab1c2-a2fb47fa "Site B Room 3 AQ" temp hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"temperature" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba"
2025-01-01T14:15:00+02:00 Bucharest,23.600000381469727°C
2025-01-01T14:30:00+02:00 Bucharest,23.600000381469727°C
2025-01-01T14:45:00+02:00 Bucharest,23.600000381469727°C
2025-01-01T14:49:48+02:00 Bucharest,23.5°C
2025-01-01T15:00:00+02:00 Bucharest,23.5°C
2025-01-01T15:10:01+02:00 Bucharest,23.399999618530273°C
2025-01-01T15:15:00+02:00 Bucharest,23.399999618530273°C
2025-01-01T15:30:00+02:00 Bucharest,23.399999618530273°C
2025-01-01T15:45:00+02:00 Bucharest,23.399999618530273°C
2025-01-01T16:00:00+02:00 Bucharest,23.299999237060547°C
2025-01-01T16:15:00+02:00 Bucharest,23.299999237060547°C
2025-01-01T16:19:48+02:00 Bucharest,23.200000762939453°C
2025-01-01T16:30:00+02:00 Bucharest,23.200000762939453°C
2025-01-01T16:45:00+02:00 Bucharest,23.200000762939453°C
2025-01-01T17:00:00+02:00 Bucharest,23.200000762939453°C
2025-01-01T17:15:00+02:00 Bucharest,23.200000762939453°C
2025-01-01T17:19:49+02:00 Bucharest,23°C
2025-01-01T17:30:00+02:00 Bucharest,23°C
2025-01-01T17:45:00+02:00 Bucharest,23°C
2025-01-01T17:49:49+02:00 Bucharest,23.100000381469727°C
2025-01-01T18:00:00+02:00 Bucharest,23.100000381469727°C
2025-01-01T18:09:48+02:00 Bucharest,23.399999618530273°C
2025-01-01T18:15:00+02:00 Bucharest,23.399999618530273°C
2025-01-01T18:30:00+02:00 Bucharest,23.399999618530273°C
2025-01-01T18:45:00+02:00 Bucharest,23.399999618530273°C
2025-01-01T18:49:49+02:00 Bucharest,23.600000381469727°C
2025-01-01T19:00:00+02:00 Bucharest,23.600000381469727°C
2025-01-01T19:15:00+02:00 Bucharest,23.600000381469727°C
2025-01-01T19:30:00+02:00 Bucharest,23.600000381469727°C
2025-01-01T19:39:49+02:00 Bucharest,23.5°C
2025-01-01T19:45:00+02:00 Bucharest,23.5°C
2025-01-01T20:00:00+02:00 Bucharest,23.5°C
2025-01-01T20:09:49+02:00 Bucharest,23.399999618530273°C
2025-01-01T20:15:00+02:00 Bucharest,23.399999618530273°C
2025-01-01T20:30:00+02:00 Bucharest,23.399999618530273°C
2025-01-01T20:45:00+02:00 Bucharest,23.399999618530273°C
2025-01-01T20:59:48+02:00 Bucharest,23.200000762939453°C
2025-01-01T21:00:00+02:00 Bucharest,23.200000762939453°C
2025-01-01T21:15:00+02:00 Bucharest,23.200000762939453°C
2025-01-01T21:30:00+02:00 Bucharest,23.200000762939453°C
2025-01-01T21:45:00+02:00 Bucharest,23.200000762939453°C
2025-01-01T22:00:00+02:00 Bucharest,23.200000762939453°C
2025-01-01T22:09:48+02:00 Bucharest,23.600000381469727°C
2025-01-01T22:15:00+02:00 Bucharest,23.600000381469727°C
2025-01-01T22:30:00+02:00 Bucharest,23.600000381469727°C
2025-01-01T22:45:00+02:00 Bucharest,23.600000381469727°C
2025-01-01T23:00:00+02:00 Bucharest,23.700000762939453°C
2025-01-01T23:15:00+02:00 Bucharest,23.600000381469727°C
2025-01-01T23:30:00+02:00 Bucharest,23.600000381469727°C
2025-01-01T23:39:49+02:00 Bucharest,23.5°C
2025-01-01T23:45:00+02:00 Bucharest,23.5°C
2025-01-01T23:59:49+02:00 Bucharest,23.399999618530273°C
2025-01-02T00:00:00+02:00 Bucharest,23.399999618530273°C
2025-01-02T00:15:00+02:00 Bucharest,23.399999618530273°C
2025-01-02T00:30:00+02:00 Bucharest,23.399999618530273°C
2025-01-02T00:45:00+02:00 Bucharest,23.299999237060547°C
2025-01-02T00:59:49+02:00 Bucharest,23.200000762939453°C
2025-01-02T01:00:00+02:00 Bucharest,23.200000762939453°C
2025-01-02T01:15:00+02:00 Bucharest,23.200000762939453°C
2025-01-02T01:30:00+02:00 Bucharest,23.100000381469727°C
2025-01-02T01:45:00+02:00 Bucharest,23.100000381469727°C
2025-01-02T01:59:48+02:00 Bucharest,23.5°C
2025-01-02T02:00:00+02:00 Bucharest,23.5°C
2025-01-02T02:09:49+02:00 Bucharest,23.600000381469727°C
2025-01-02T02:15:00+02:00 Bucharest,23.600000381469727°C
2025-01-02T02:29:49+02:00 Bucharest,23.899999618530273°C
2025-01-02T02:30:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T02:45:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T02:59:49+02:00 Bucharest,24°C
2025-01-02T03:00:00+02:00 Bucharest,24°C
