ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 cur amSensorRef:@p:linkEdge:r:2d9ab104-58bf844a "Site B Room 5 AQ" mod:2024-04-12T14:41:37.947Z hisSize:33838 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b90-ac30c77f "Site B Room 5" lorawanPoint amSensorAM107ModelId:"_amSensorAM107_point:humidity" point maxVal:100 his minVal:0 disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9ab104-e21f5c37 "5 AQ" humidity navName:"Humidity" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9ab104-58bf844a "Site B Room 5 AQ" id:@p:linkEdge:r:2d9ab104-07cee7e3 "Site B Room 5 AQ Humidity" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2025-09-28T11:00:00+03:00 Bucharest hisStatus:"ok" innLinkEdge kind:"Number" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"humidity" unit:"%RH" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba" sensor
2025-01-01T17:50:17+02:00 Bucharest,41%RH
2025-01-01T18:00:00+02:00 Bucharest,41%RH
2025-01-01T18:10:17+02:00 Bucharest,40.5%RH
2025-01-01T18:15:00+02:00 Bucharest,40.5%RH
2025-01-01T18:30:00+02:00 Bucharest,40.5%RH
2025-01-01T18:45:00+02:00 Bucharest,40.5%RH
2025-01-01T19:00:00+02:00 Bucharest,40.5%RH
2025-01-01T19:15:00+02:00 Bucharest,40.5%RH
2025-01-01T19:30:00+02:00 Bucharest,40.5%RH
2025-01-01T19:40:17+02:00 Bucharest,41%RH
2025-01-01T19:45:00+02:00 Bucharest,41%RH
2025-01-01T20:00:00+02:00 Bucharest,41%RH
2025-01-01T20:15:00+02:00 Bucharest,41%RH
2025-01-01T20:30:00+02:00 Bucharest,41%RH
2025-01-01T20:45:00+02:00 Bucharest,41%RH
2025-01-01T21:00:00+02:00 Bucharest,41%RH
2025-01-01T21:10:17+02:00 Bucharest,41.5%RH
2025-01-01T21:15:00+02:00 Bucharest,41.5%RH
2025-01-01T21:30:00+02:00 Bucharest,41.5%RH
2025-01-01T21:45:00+02:00 Bucharest,41.5%RH
2025-01-01T22:00:00+02:00 Bucharest,41.5%RH
2025-01-01T22:15:00+02:00 Bucharest,41.5%RH
2025-01-01T22:30:00+02:00 Bucharest,41.5%RH
2025-01-01T22:45:00+02:00 Bucharest,41.5%RH
2025-01-01T22:50:17+02:00 Bucharest,40.5%RH
2025-01-01T23:00:00+02:00 Bucharest,40.5%RH
2025-01-01T23:15:00+02:00 Bucharest,40.5%RH
2025-01-01T23:30:00+02:00 Bucharest,40.5%RH
2025-01-01T23:45:00+02:00 Bucharest,40.5%RH
2025-01-02T00:00:00+02:00 Bucharest,40.5%RH
2025-01-02T00:01:00+02:00 Bucharest,41%RH
2025-01-02T00:15:00+02:00 Bucharest,41%RH
2025-01-02T00:30:00+02:00 Bucharest,41%RH
2025-01-02T00:45:00+02:00 Bucharest,41%RH
2025-01-02T01:00:00+02:00 Bucharest,41%RH
2025-01-02T01:15:00+02:00 Bucharest,41%RH
2025-01-02T01:30:00+02:00 Bucharest,41%RH
2025-01-02T01:45:00+02:00 Bucharest,41%RH
2025-01-02T02:00:00+02:00 Bucharest,41%RH
2025-01-02T02:01:00+02:00 Bucharest,40%RH
2025-01-02T02:15:00+02:00 Bucharest,40%RH
2025-01-02T02:30:00+02:00 Bucharest,40%RH
2025-01-02T02:45:00+02:00 Bucharest,40%RH
2025-01-02T03:00:00+02:00 Bucharest,40%RH
2025-01-02T03:01:00+02:00 Bucharest,39.5%RH
2025-01-02T03:15:00+02:00 Bucharest,39.5%RH
2025-01-02T03:30:00+02:00 Bucharest,39.5%RH
2025-01-02T03:45:00+02:00 Bucharest,39.5%RH
2025-01-02T04:00:00+02:00 Bucharest,39.5%RH
2025-01-02T04:10:17+02:00 Bucharest,40%RH
2025-01-02T04:15:00+02:00 Bucharest,40%RH
2025-01-02T04:30:00+02:00 Bucharest,40%RH
2025-01-02T04:45:00+02:00 Bucharest,40%RH
2025-01-02T05:00:00+02:00 Bucharest,40%RH
2025-01-02T05:15:00+02:00 Bucharest,40%RH
2025-01-02T05:30:00+02:00 Bucharest,40%RH
2025-01-02T05:45:00+02:00 Bucharest,40%RH
2025-01-02T06:00:00+02:00 Bucharest,40%RH
2025-01-02T06:15:00+02:00 Bucharest,40%RH
2025-01-02T06:30:00+02:00 Bucharest,40%RH
2025-01-02T06:45:00+02:00 Bucharest,40%RH
2025-01-02T06:50:17+02:00 Bucharest,39.5%RH
2025-01-02T07:00:00+02:00 Bucharest,39.5%RH
2025-01-02T07:15:00+02:00 Bucharest,39.5%RH
