ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 cur amSensorRef:@p:linkEdge:r:2d9ab104-58bf844a "Site B Room 5 AQ" mod:2024-04-12T14:41:21.75Z hisSize:52228 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b90-ac30c77f "Site B Room 5" lorawanPoint amSensorAM107ModelId:"_amSensorAM107_point:tvoc" point his disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9ab104-e21f5c37 "5 AQ" navName:"TVOC" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9ab104-58bf844a "Site B Room 5 AQ" id:@p:linkEdge:r:2d9ab104-8809b2ca "Site B Room 5 AQ TVOC" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2025-09-28T11:00:00+03:00 Bucharest airQuality hisStatus:"ok" innLinkEdge kind:"Number" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"tvoc" unit:"ppb" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba" sensor
2025-01-01T04:01:00+02:00 Bucharest,324ppb
2025-01-01T04:15:00+02:00 Bucharest,324ppb
2025-01-01T04:30:00+02:00 Bucharest,324ppb
2025-01-01T04:31:00+02:00 Bucharest,347ppb
2025-01-01T04:40:17+02:00 Bucharest,345ppb
2025-01-01T04:45:00+02:00 Bucharest,345ppb
2025-01-01T04:50:18+02:00 Bucharest,342ppb
2025-01-01T05:00:00+02:00 Bucharest,342ppb
2025-01-01T05:10:17+02:00 Bucharest,338ppb
2025-01-01T05:15:00+02:00 Bucharest,338ppb
2025-01-01T05:30:00+02:00 Bucharest,338ppb
2025-01-01T05:31:00+02:00 Bucharest,335ppb
2025-01-01T05:40:17+02:00 Bucharest,339ppb
2025-01-01T05:45:00+02:00 Bucharest,339ppb
2025-01-01T05:50:17+02:00 Bucharest,343ppb
2025-01-01T06:00:00+02:00 Bucharest,343ppb
2025-01-01T06:15:00+02:00 Bucharest,343ppb
2025-01-01T06:30:00+02:00 Bucharest,343ppb
2025-01-01T06:45:00+02:00 Bucharest,343ppb
2025-01-01T06:50:17+02:00 Bucharest,333ppb
2025-01-01T07:00:00+02:00 Bucharest,333ppb
2025-01-01T07:01:00+02:00 Bucharest,332ppb
2025-01-01T07:15:00+02:00 Bucharest,332ppb
2025-01-01T07:20:17+02:00 Bucharest,330ppb
2025-01-01T07:30:00+02:00 Bucharest,330ppb
2025-01-01T07:31:00+02:00 Bucharest,328ppb
2025-01-01T07:45:00+02:00 Bucharest,328ppb
2025-01-01T08:00:00+02:00 Bucharest,328ppb
2025-01-01T08:01:00+02:00 Bucharest,333ppb
2025-01-01T08:10:18+02:00 Bucharest,340ppb
2025-01-01T08:15:00+02:00 Bucharest,340ppb
2025-01-01T08:20:18+02:00 Bucharest,342ppb
2025-01-01T08:30:00+02:00 Bucharest,342ppb
2025-01-01T08:45:00+02:00 Bucharest,342ppb
2025-01-01T09:00:00+02:00 Bucharest,342ppb
2025-01-01T09:15:00+02:00 Bucharest,342ppb
2025-01-01T09:20:18+02:00 Bucharest,362ppb
2025-01-01T09:30:00+02:00 Bucharest,362ppb
2025-01-01T09:31:00+02:00 Bucharest,360ppb
2025-01-01T09:40:17+02:00 Bucharest,363ppb
2025-01-01T09:45:00+02:00 Bucharest,363ppb
2025-01-01T10:00:00+02:00 Bucharest,363ppb
2025-01-01T10:15:00+02:00 Bucharest,363ppb
2025-01-01T10:20:17+02:00 Bucharest,396ppb
2025-01-01T10:30:00+02:00 Bucharest,396ppb
2025-01-01T10:40:17+02:00 Bucharest,405ppb
2025-01-01T10:44:39+02:00 Bucharest,411ppb
2025-01-01T10:45:00+02:00 Bucharest,411ppb
2025-01-01T10:50:17+02:00 Bucharest,409ppb
2025-01-01T11:00:00+02:00 Bucharest,409ppb
2025-01-01T11:10:17+02:00 Bucharest,412ppb
2025-01-01T11:15:00+02:00 Bucharest,412ppb
2025-01-01T11:30:00+02:00 Bucharest,412ppb
2025-01-01T11:31:00+02:00 Bucharest,403ppb
2025-01-01T11:45:00+02:00 Bucharest,403ppb
2025-01-01T11:50:17+02:00 Bucharest,395ppb
2025-01-01T12:00:00+02:00 Bucharest,395ppb
2025-01-01T12:01:00+02:00 Bucharest,387ppb
2025-01-01T12:15:00+02:00 Bucharest,387ppb
2025-01-01T12:20:17+02:00 Bucharest,383ppb
2025-01-01T12:30:00+02:00 Bucharest,383ppb
2025-01-01T12:31:00+02:00 Bucharest,385ppb
2025-01-01T12:40:18+02:00 Bucharest,384ppb
2025-01-01T12:45:00+02:00 Bucharest,384ppb
2025-01-01T13:00:00+02:00 Bucharest,384ppb
2025-01-01T13:10:18+02:00 Bucharest,379ppb
2025-01-01T13:15:00+02:00 Bucharest,379ppb
2025-01-01T13:30:00+02:00 Bucharest,379ppb
2025-01-01T13:31:00+02:00 Bucharest,377ppb
2025-01-01T13:45:00+02:00 Bucharest,377ppb
2025-01-01T13:50:18+02:00 Bucharest,366ppb
2025-01-01T14:00:00+02:00 Bucharest,366ppb
2025-01-01T14:10:17+02:00 Bucharest,363ppb
2025-01-01T14:15:00+02:00 Bucharest,363ppb
2025-01-01T14:20:18+02:00 Bucharest,364ppb
2025-01-01T14:30:00+02:00 Bucharest,364ppb
2025-01-01T14:45:00+02:00 Bucharest,364ppb
2025-01-01T14:50:17+02:00 Bucharest,356ppb
2025-01-01T15:00:00+02:00 Bucharest,356ppb
2025-01-01T15:10:17+02:00 Bucharest,349ppb
2025-01-01T15:15:00+02:00 Bucharest,349ppb
2025-01-01T15:30:00+02:00 Bucharest,349ppb
2025-01-01T15:31:00+02:00 Bucharest,263ppb
2025-01-01T15:40:17+02:00 Bucharest,215ppb
2025-01-01T15:45:00+02:00 Bucharest,215ppb
2025-01-01T16:00:00+02:00 Bucharest,215ppb
2025-01-01T16:01:00+02:00 Bucharest,206ppb
2025-01-01T16:10:17+02:00 Bucharest,202ppb
2025-01-01T16:15:00+02:00 Bucharest,202ppb
2025-01-01T16:20:17+02:00 Bucharest,190ppb
2025-01-01T16:30:00+02:00 Bucharest,190ppb
2025-01-01T16:31:00+02:00 Bucharest,192ppb
2025-01-01T16:45:00+02:00 Bucharest,192ppb
2025-01-01T17:00:00+02:00 Bucharest,192ppb
2025-01-01T17:15:00+02:00 Bucharest,192ppb
2025-01-01T17:30:00+02:00 Bucharest,192ppb
2025-01-01T17:45:00+02:00 Bucharest,192ppb
2025-01-01T17:50:17+02:00 Bucharest,199ppb
2025-01-01T18:00:00+02:00 Bucharest,199ppb
2025-01-01T18:10:17+02:00 Bucharest,201ppb
2025-01-01T18:15:00+02:00 Bucharest,201ppb
2025-01-01T18:30:00+02:00 Bucharest,201ppb
2025-01-01T18:45:00+02:00 Bucharest,201ppb
2025-01-01T18:50:18+02:00 Bucharest,202ppb
2025-01-01T19:00:00+02:00 Bucharest,202ppb
2025-01-01T19:15:00+02:00 Bucharest,202ppb
2025-01-01T19:30:00+02:00 Bucharest,202ppb
2025-01-01T19:31:00+02:00 Bucharest,203ppb
2025-01-01T19:40:17+02:00 Bucharest,204ppb
2025-01-01T19:45:00+02:00 Bucharest,204ppb
2025-01-01T20:00:00+02:00 Bucharest,204ppb
2025-01-01T20:10:17+02:00 Bucharest,205ppb
2025-01-01T20:15:00+02:00 Bucharest,205ppb
2025-01-01T20:30:00+02:00 Bucharest,205ppb
2025-01-01T20:45:00+02:00 Bucharest,205ppb
2025-01-01T20:50:17+02:00 Bucharest,201ppb
2025-01-01T21:00:00+02:00 Bucharest,201ppb
2025-01-01T21:10:17+02:00 Bucharest,202ppb
2025-01-01T21:15:00+02:00 Bucharest,202ppb
2025-01-01T21:30:00+02:00 Bucharest,202ppb
2025-01-01T21:40:18+02:00 Bucharest,204ppb
2025-01-01T21:45:00+02:00 Bucharest,204ppb
2025-01-01T22:00:00+02:00 Bucharest,204ppb
2025-01-01T22:15:00+02:00 Bucharest,204ppb
2025-01-01T22:30:00+02:00 Bucharest,204ppb
2025-01-01T22:45:00+02:00 Bucharest,204ppb
2025-01-01T22:50:17+02:00 Bucharest,207ppb
2025-01-01T23:00:00+02:00 Bucharest,207ppb
2025-01-01T23:10:17+02:00 Bucharest,202ppb
2025-01-01T23:15:00+02:00 Bucharest,202ppb
2025-01-01T23:30:00+02:00 Bucharest,202ppb
2025-01-01T23:45:00+02:00 Bucharest,202ppb
2025-01-02T00:00:00+02:00 Bucharest,202ppb
2025-01-02T00:01:00+02:00 Bucharest,203ppb
2025-01-02T00:15:00+02:00 Bucharest,203ppb
2025-01-02T00:30:00+02:00 Bucharest,203ppb
2025-01-02T00:40:17+02:00 Bucharest,195ppb
2025-01-02T00:45:00+02:00 Bucharest,195ppb
2025-01-02T01:00:00+02:00 Bucharest,195ppb
2025-01-02T01:01:00+02:00 Bucharest,192ppb
2025-01-02T01:15:00+02:00 Bucharest,192ppb
2025-01-02T01:20:17+02:00 Bucharest,189ppb
2025-01-02T01:30:00+02:00 Bucharest,189ppb
2025-01-02T01:45:00+02:00 Bucharest,189ppb
2025-01-02T02:00:00+02:00 Bucharest,189ppb
2025-01-02T02:01:00+02:00 Bucharest,193ppb
2025-01-02T02:10:18+02:00 Bucharest,192ppb
2025-01-02T02:15:00+02:00 Bucharest,192ppb
2025-01-02T02:30:00+02:00 Bucharest,192ppb
2025-01-02T02:45:00+02:00 Bucharest,192ppb
2025-01-02T03:00:00+02:00 Bucharest,192ppb
2025-01-02T03:01:00+02:00 Bucharest,180ppb
2025-01-02T03:10:17+02:00 Bucharest,177ppb
2025-01-02T03:15:00+02:00 Bucharest,177ppb
2025-01-02T03:30:00+02:00 Bucharest,177ppb
2025-01-02T03:40:17+02:00 Bucharest,173ppb
2025-01-02T03:45:00+02:00 Bucharest,173ppb
2025-01-02T04:00:00+02:00 Bucharest,173ppb
2025-01-02T04:10:17+02:00 Bucharest,172ppb
2025-01-02T04:15:00+02:00 Bucharest,172ppb
2025-01-02T04:30:00+02:00 Bucharest,172ppb
2025-01-02T04:31:00+02:00 Bucharest,171ppb
2025-01-02T04:45:00+02:00 Bucharest,171ppb
2025-01-02T05:00:00+02:00 Bucharest,171ppb
2025-01-02T05:10:17+02:00 Bucharest,168ppb
2025-01-02T05:15:00+02:00 Bucharest,168ppb
2025-01-02T05:20:17+02:00 Bucharest,166ppb
2025-01-02T05:30:00+02:00 Bucharest,166ppb
2025-01-02T05:40:17+02:00 Bucharest,161ppb
2025-01-02T05:45:00+02:00 Bucharest,161ppb
2025-01-02T06:00:00+02:00 Bucharest,161ppb
2025-01-02T06:10:17+02:00 Bucharest,158ppb
2025-01-02T06:15:00+02:00 Bucharest,158ppb
2025-01-02T06:20:17+02:00 Bucharest,162ppb
2025-01-02T06:30:00+02:00 Bucharest,162ppb
2025-01-02T06:45:00+02:00 Bucharest,162ppb
2025-01-02T06:50:17+02:00 Bucharest,167ppb
2025-01-02T07:00:00+02:00 Bucharest,167ppb
2025-01-02T07:15:00+02:00 Bucharest,167ppb
2025-01-02T07:30:00+02:00 Bucharest,167ppb
2025-01-02T07:40:17+02:00 Bucharest,162ppb
2025-01-02T07:45:00+02:00 Bucharest,162ppb
2025-01-02T07:50:17+02:00 Bucharest,161ppb
2025-01-02T08:00:00+02:00 Bucharest,161ppb
2025-01-02T08:15:00+02:00 Bucharest,161ppb
2025-01-02T08:30:00+02:00 Bucharest,161ppb
2025-01-02T08:31:00+02:00 Bucharest,157ppb
2025-01-02T08:45:00+02:00 Bucharest,157ppb
2025-01-02T08:50:18+02:00 Bucharest,156ppb
2025-01-02T09:00:00+02:00 Bucharest,156ppb
2025-01-02T09:10:17+02:00 Bucharest,154ppb
2025-01-02T09:15:00+02:00 Bucharest,154ppb
2025-01-02T09:30:00+02:00 Bucharest,154ppb
2025-01-02T09:40:17+02:00 Bucharest,150ppb
2025-01-02T09:45:00+02:00 Bucharest,150ppb
2025-01-02T10:00:00+02:00 Bucharest,150ppb
2025-01-02T10:15:00+02:00 Bucharest,150ppb
2025-01-02T10:30:00+02:00 Bucharest,150ppb
2025-01-02T10:31:00+02:00 Bucharest,155ppb
2025-01-02T10:45:00+02:00 Bucharest,155ppb
2025-01-02T11:00:00+02:00 Bucharest,155ppb
2025-01-02T11:01:00+02:00 Bucharest,159ppb
2025-01-02T11:15:00+02:00 Bucharest,159ppb
2025-01-02T11:30:00+02:00 Bucharest,159ppb
2025-01-02T11:31:00+02:00 Bucharest,152ppb
2025-01-02T11:40:17+02:00 Bucharest,148ppb
2025-01-02T11:45:00+02:00 Bucharest,148ppb
2025-01-02T12:00:00+02:00 Bucharest,148ppb
2025-01-02T12:01:00+02:00 Bucharest,141ppb
2025-01-02T12:10:17+02:00 Bucharest,136ppb
2025-01-02T12:15:00+02:00 Bucharest,136ppb
2025-01-02T12:30:00+02:00 Bucharest,136ppb
2025-01-02T12:45:00+02:00 Bucharest,136ppb
2025-01-02T12:50:17+02:00 Bucharest,140ppb
2025-01-02T13:00:00+02:00 Bucharest,140ppb
2025-01-02T13:01:00+02:00 Bucharest,139ppb
2025-01-02T13:10:17+02:00 Bucharest,141ppb
2025-01-02T13:15:00+02:00 Bucharest,141ppb
2025-01-02T13:20:16+02:00 Bucharest,142ppb
2025-01-02T13:30:00+02:00 Bucharest,142ppb
2025-01-02T13:31:00+02:00 Bucharest,141ppb
2025-01-02T13:45:00+02:00 Bucharest,141ppb
2025-01-02T13:50:17+02:00 Bucharest,142ppb
2025-01-02T14:00:00+02:00 Bucharest,142ppb
2025-01-02T14:15:00+02:00 Bucharest,142ppb
2025-01-02T14:30:00+02:00 Bucharest,142ppb
2025-01-02T14:40:17+02:00 Bucharest,139ppb
2025-01-02T14:45:00+02:00 Bucharest,139ppb
2025-01-02T15:00:00+02:00 Bucharest,139ppb
2025-01-02T15:10:17+02:00 Bucharest,140ppb
2025-01-02T15:15:00+02:00 Bucharest,140ppb
2025-01-02T15:20:17+02:00 Bucharest,141ppb
2025-01-02T15:30:00+02:00 Bucharest,141ppb
2025-01-02T15:31:00+02:00 Bucharest,143ppb
2025-01-02T15:40:17+02:00 Bucharest,144ppb
2025-01-02T15:45:00+02:00 Bucharest,144ppb
2025-01-02T15:50:17+02:00 Bucharest,145ppb
2025-01-02T16:00:00+02:00 Bucharest,145ppb
2025-01-02T16:01:00+02:00 Bucharest,147ppb
2025-01-02T16:15:00+02:00 Bucharest,147ppb
2025-01-02T16:20:17+02:00 Bucharest,148ppb
2025-01-02T16:30:00+02:00 Bucharest,148ppb
2025-01-02T16:45:00+02:00 Bucharest,148ppb
2025-01-02T17:00:00+02:00 Bucharest,148ppb
2025-01-02T17:15:00+02:00 Bucharest,148ppb
2025-01-02T17:30:00+02:00 Bucharest,148ppb
2025-01-02T17:40:17+02:00 Bucharest,164ppb
2025-01-02T17:45:00+02:00 Bucharest,164ppb
2025-01-02T17:50:16+02:00 Bucharest,166ppb
2025-01-02T18:00:00+02:00 Bucharest,166ppb
2025-01-02T18:15:00+02:00 Bucharest,166ppb
2025-01-02T18:30:00+02:00 Bucharest,166ppb
2025-01-02T18:40:17+02:00 Bucharest,165ppb
2025-01-02T18:45:00+02:00 Bucharest,165ppb
2025-01-02T19:00:00+02:00 Bucharest,165ppb
2025-01-02T19:10:17+02:00 Bucharest,163ppb
2025-01-02T19:15:00+02:00 Bucharest,163ppb
2025-01-02T19:20:17+02:00 Bucharest,161ppb
2025-01-02T19:30:00+02:00 Bucharest,161ppb
2025-01-02T19:45:00+02:00 Bucharest,161ppb
2025-01-02T19:50:17+02:00 Bucharest,159ppb
2025-01-02T20:00:00+02:00 Bucharest,159ppb
2025-01-02T20:10:17+02:00 Bucharest,158ppb
2025-01-02T20:15:00+02:00 Bucharest,158ppb
2025-01-02T20:20:17+02:00 Bucharest,156ppb
2025-01-02T20:30:00+02:00 Bucharest,156ppb
2025-01-02T20:45:00+02:00 Bucharest,156ppb
2025-01-02T20:50:17+02:00 Bucharest,154ppb
2025-01-02T21:00:00+02:00 Bucharest,154ppb
2025-01-02T21:01:00+02:00 Bucharest,153ppb
2025-01-02T21:15:00+02:00 Bucharest,153ppb
2025-01-02T21:30:00+02:00 Bucharest,153ppb
2025-01-02T21:40:17+02:00 Bucharest,152ppb
2025-01-02T21:45:00+02:00 Bucharest,152ppb
2025-01-02T22:00:00+02:00 Bucharest,152ppb
2025-01-02T22:10:17+02:00 Bucharest,158ppb
2025-01-02T22:15:00+02:00 Bucharest,158ppb
2025-01-02T22:30:00+02:00 Bucharest,158ppb
2025-01-02T22:45:00+02:00 Bucharest,158ppb
2025-01-02T22:50:16+02:00 Bucharest,159ppb
2025-01-02T23:00:00+02:00 Bucharest,159ppb
2025-01-02T23:15:00+02:00 Bucharest,159ppb
2025-01-02T23:20:17+02:00 Bucharest,149ppb
2025-01-02T23:30:00+02:00 Bucharest,149ppb
2025-01-02T23:40:17+02:00 Bucharest,148ppb
2025-01-02T23:45:00+02:00 Bucharest,148ppb
2025-01-03T00:00:00+02:00 Bucharest,148ppb
2025-01-03T00:10:17+02:00 Bucharest,145ppb
2025-01-03T00:15:00+02:00 Bucharest,145ppb
2025-01-03T00:30:00+02:00 Bucharest,145ppb
2025-01-03T00:45:00+02:00 Bucharest,145ppb
2025-01-03T00:50:17+02:00 Bucharest,144ppb
2025-01-03T01:00:00+02:00 Bucharest,144ppb
2025-01-03T01:10:16+02:00 Bucharest,140ppb
2025-01-03T01:15:00+02:00 Bucharest,140ppb
2025-01-03T01:30:00+02:00 Bucharest,140ppb
2025-01-03T01:31:00+02:00 Bucharest,136ppb
2025-01-03T01:40:16+02:00 Bucharest,138ppb
2025-01-03T01:45:00+02:00 Bucharest,138ppb
2025-01-03T02:00:00+02:00 Bucharest,138ppb
2025-01-03T02:01:00+02:00 Bucharest,147ppb
2025-01-03T02:10:16+02:00 Bucharest,150ppb
2025-01-03T02:15:00+02:00 Bucharest,150ppb
2025-01-03T02:30:00+02:00 Bucharest,150ppb
2025-01-03T02:45:00+02:00 Bucharest,150ppb
2025-01-03T03:00:00+02:00 Bucharest,150ppb
2025-01-03T03:15:00+02:00 Bucharest,150ppb
2025-01-03T03:30:00+02:00 Bucharest,150ppb
2025-01-03T03:40:17+02:00 Bucharest,152ppb
2025-01-03T03:45:00+02:00 Bucharest,152ppb
2025-01-03T04:00:00+02:00 Bucharest,152ppb
2025-01-03T04:01:00+02:00 Bucharest,147ppb
2025-01-03T04:15:00+02:00 Bucharest,147ppb
2025-01-03T04:30:00+02:00 Bucharest,147ppb
2025-01-03T04:45:00+02:00 Bucharest,147ppb
2025-01-03T05:00:00+02:00 Bucharest,147ppb
2025-01-03T05:01:00+02:00 Bucharest,135ppb
2025-01-03T05:15:00+02:00 Bucharest,135ppb
2025-01-03T05:30:00+02:00 Bucharest,135ppb
2025-01-03T05:45:00+02:00 Bucharest,135ppb
2025-01-03T05:50:17+02:00 Bucharest,131ppb
2025-01-03T06:00:00+02:00 Bucharest,131ppb
2025-01-03T06:15:00+02:00 Bucharest,131ppb
2025-01-03T06:20:17+02:00 Bucharest,136ppb
2025-01-03T06:30:00+02:00 Bucharest,136ppb
2025-01-03T06:45:00+02:00 Bucharest,136ppb
2025-01-03T06:50:17+02:00 Bucharest,141ppb
2025-01-03T07:00:00+02:00 Bucharest,141ppb
2025-01-03T07:15:00+02:00 Bucharest,141ppb
2025-01-03T07:20:16+02:00 Bucharest,147ppb
2025-01-03T07:30:00+02:00 Bucharest,147ppb
2025-01-03T07:45:00+02:00 Bucharest,147ppb
2025-01-03T08:00:00+02:00 Bucharest,147ppb
2025-01-03T08:10:17+02:00 Bucharest,138ppb
2025-01-03T08:15:00+02:00 Bucharest,138ppb
2025-01-03T08:20:16+02:00 Bucharest,136ppb
2025-01-03T08:30:00+02:00 Bucharest,136ppb
2025-01-03T08:45:00+02:00 Bucharest,136ppb
2025-01-03T09:00:00+02:00 Bucharest,136ppb
2025-01-03T09:01:00+02:00 Bucharest,124ppb
2025-01-03T09:15:00+02:00 Bucharest,124ppb
2025-01-03T09:20:17+02:00 Bucharest,122ppb
2025-01-03T09:30:00+02:00 Bucharest,122ppb
2025-01-03T09:31:00+02:00 Bucharest,123ppb
2025-01-03T09:45:00+02:00 Bucharest,123ppb
2025-01-03T09:50:17+02:00 Bucharest,131ppb
2025-01-03T10:00:00+02:00 Bucharest,131ppb
2025-01-03T10:10:16+02:00 Bucharest,139ppb
2025-01-03T10:15:00+02:00 Bucharest,139ppb
2025-01-03T10:20:17+02:00 Bucharest,140ppb
2025-01-03T10:30:00+02:00 Bucharest,140ppb
2025-01-03T10:40:16+02:00 Bucharest,139ppb
2025-01-03T10:45:00+02:00 Bucharest,139ppb
