ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 cur amSensorRef:@p:linkEdge:r:2d9ab104-58bf844a "Site B Room 5 AQ" mod:2024-04-12T14:37:14.402Z hisSize:33462 tz:"Bucharest" precision:1 roomRef:@p:linkEdge:r:2d996b90-ac30c77f "Site B Room 5" lorawanPoint curStatus:"unknown" amSensorAM107ModelId:"_amSensorAM107_point:temperature" point his disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9ab104-e21f5c37 "5 AQ" navName:"Temperature" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9ab104-58bf844a "Site B Room 5 AQ" id:@p:linkEdge:r:2d9ab104-dec225aa "Site B Room 5 AQ Temperature" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2025-09-28T11:00:00+03:00 Bucharest temp hisStatus:"ok" innLinkEdge kind:"Number" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"temperature" unit:"°C" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba" sensor
2025-01-01T13:45:00+02:00 Bucharest,26.600000381469727°C
2025-01-01T13:50:18+02:00 Bucharest,26.5°C
2025-01-01T14:00:00+02:00 Bucharest,26.5°C
2025-01-01T14:10:17+02:00 Bucharest,26.299999237060547°C
2025-01-01T14:15:00+02:00 Bucharest,26.299999237060547°C
2025-01-01T14:20:18+02:00 Bucharest,26.200000762939453°C
2025-01-01T14:30:00+02:00 Bucharest,26.200000762939453°C
2025-01-01T14:45:00+02:00 Bucharest,26.200000762939453°C
2025-01-01T14:50:17+02:00 Bucharest,25.899999618530273°C
2025-01-01T15:00:00+02:00 Bucharest,25.899999618530273°C
2025-01-01T15:10:17+02:00 Bucharest,25.700000762939453°C
2025-01-01T15:15:00+02:00 Bucharest,25.700000762939453°C
2025-01-01T15:30:00+02:00 Bucharest,25.700000762939453°C
2025-01-01T15:31:00+02:00 Bucharest,25.399999618530273°C
2025-01-01T15:40:17+02:00 Bucharest,25.200000762939453°C
2025-01-01T15:45:00+02:00 Bucharest,25.200000762939453°C
2025-01-01T16:00:00+02:00 Bucharest,25.200000762939453°C
2025-01-01T16:01:00+02:00 Bucharest,24.899999618530273°C
2025-01-01T16:15:00+02:00 Bucharest,24.799999237060547°C
2025-01-01T16:20:17+02:00 Bucharest,24.700000762939453°C
2025-01-01T16:30:00+02:00 Bucharest,24.700000762939453°C
2025-01-01T16:45:00+02:00 Bucharest,24.600000381469727°C
2025-01-01T17:00:00+02:00 Bucharest,24.600000381469727°C
2025-01-01T17:15:00+02:00 Bucharest,24.600000381469727°C
2025-01-01T17:20:17+02:00 Bucharest,24.200000762939453°C
2025-01-01T17:30:00+02:00 Bucharest,24.200000762939453°C
2025-01-01T17:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-01T17:50:17+02:00 Bucharest,24.399999618530273°C
2025-01-01T18:00:00+02:00 Bucharest,24.399999618530273°C
2025-01-01T18:10:17+02:00 Bucharest,24.700000762939453°C
2025-01-01T18:15:00+02:00 Bucharest,24.700000762939453°C
2025-01-01T18:30:00+02:00 Bucharest,24.700000762939453°C
2025-01-01T18:45:00+02:00 Bucharest,24.700000762939453°C
2025-01-01T19:00:00+02:00 Bucharest,24.700000762939453°C
2025-01-01T19:15:00+02:00 Bucharest,24.700000762939453°C
2025-01-01T19:30:00+02:00 Bucharest,24.600000381469727°C
2025-01-01T19:31:00+02:00 Bucharest,24.5°C
2025-01-01T19:45:00+02:00 Bucharest,24.5°C
2025-01-01T20:00:00+02:00 Bucharest,24.5°C
2025-01-01T20:10:17+02:00 Bucharest,24.399999618530273°C
2025-01-01T20:15:00+02:00 Bucharest,24.399999618530273°C
2025-01-01T20:30:00+02:00 Bucharest,24.399999618530273°C
2025-01-01T20:45:00+02:00 Bucharest,24.399999618530273°C
2025-01-01T20:50:17+02:00 Bucharest,24.100000381469727°C
2025-01-01T21:00:00+02:00 Bucharest,24.100000381469727°C
2025-01-01T21:10:17+02:00 Bucharest,24°C
2025-01-01T21:15:00+02:00 Bucharest,24°C
2025-01-01T21:30:00+02:00 Bucharest,24°C
2025-01-01T21:40:18+02:00 Bucharest,24.5°C
2025-01-01T21:45:00+02:00 Bucharest,24.5°C
2025-01-01T22:00:00+02:00 Bucharest,24.5°C
2025-01-01T22:15:00+02:00 Bucharest,24.5°C
2025-01-01T22:30:00+02:00 Bucharest,24.5°C
2025-01-01T22:45:00+02:00 Bucharest,24.5°C
2025-01-01T22:50:17+02:00 Bucharest,25.200000762939453°C
2025-01-01T23:00:00+02:00 Bucharest,25.200000762939453°C
2025-01-01T23:10:17+02:00 Bucharest,25°C
2025-01-01T23:15:00+02:00 Bucharest,25°C
2025-01-01T23:30:00+02:00 Bucharest,25°C
2025-01-01T23:45:00+02:00 Bucharest,25°C
2025-01-02T00:00:00+02:00 Bucharest,25°C
2025-01-02T00:01:00+02:00 Bucharest,24.600000381469727°C
2025-01-02T00:15:00+02:00 Bucharest,24.600000381469727°C
2025-01-02T00:30:00+02:00 Bucharest,24.600000381469727°C
2025-01-02T00:40:17+02:00 Bucharest,24.299999237060547°C
2025-01-02T00:45:00+02:00 Bucharest,24.299999237060547°C
2025-01-02T01:00:00+02:00 Bucharest,24.299999237060547°C
2025-01-02T01:01:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T01:15:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T01:30:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T01:45:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T02:00:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T02:01:00+02:00 Bucharest,25.200000762939453°C
2025-01-02T02:10:18+02:00 Bucharest,25.299999237060547°C
2025-01-02T02:15:00+02:00 Bucharest,25.299999237060547°C
2025-01-02T02:30:00+02:00 Bucharest,25.299999237060547°C
2025-01-02T02:45:00+02:00 Bucharest,25.299999237060547°C
2025-01-02T03:00:00+02:00 Bucharest,25.299999237060547°C
2025-01-02T03:01:00+02:00 Bucharest,25°C
2025-01-02T03:10:17+02:00 Bucharest,24.899999618530273°C
2025-01-02T03:15:00+02:00 Bucharest,24.899999618530273°C
