ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 cur amSensorRef:@p:linkEdge:r:2d9ab104-58bf844a "Site B Room 5 AQ" mod:2024-04-12T14:37:14.402Z hisSize:33462 tz:"Bucharest" precision:1 roomRef:@p:linkEdge:r:2d996b90-ac30c77f "Site B Room 5" lorawanPoint curStatus:"unknown" amSensorAM107ModelId:"_amSensorAM107_point:temperature" point his disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9ab104-e21f5c37 "5 AQ" navName:"Temperature" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9ab104-58bf844a "Site B Room 5 AQ" id:@p:linkEdge:r:2d9ab104-dec225aa "Site B Room 5 AQ Temperature" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2025-09-28T11:00:00+03:00 Bucharest temp hisStatus:"ok" innLinkEdge kind:"Number" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"temperature" unit:"°C" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba" sensor
2025-01-02T03:30:00+02:00 Bucharest,24.899999618530273°C
2025-01-02T03:40:17+02:00 Bucharest,24.600000381469727°C
2025-01-02T03:45:00+02:00 Bucharest,24.600000381469727°C
2025-01-02T04:00:00+02:00 Bucharest,24.600000381469727°C
2025-01-02T04:10:17+02:00 Bucharest,24.399999618530273°C
2025-01-02T04:15:00+02:00 Bucharest,24.399999618530273°C
2025-01-02T04:30:00+02:00 Bucharest,24.399999618530273°C
2025-01-02T04:31:00+02:00 Bucharest,24.200000762939453°C
2025-01-02T04:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-02T05:00:00+02:00 Bucharest,24.200000762939453°C
2025-01-02T05:10:17+02:00 Bucharest,23.899999618530273°C
2025-01-02T05:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T05:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T05:40:17+02:00 Bucharest,23.700000762939453°C
2025-01-02T05:45:00+02:00 Bucharest,23.700000762939453°C
2025-01-02T06:00:00+02:00 Bucharest,23.700000762939453°C
2025-01-02T06:10:17+02:00 Bucharest,24°C
2025-01-02T06:15:00+02:00 Bucharest,24°C
2025-01-02T06:20:17+02:00 Bucharest,24.299999237060547°C
2025-01-02T06:30:00+02:00 Bucharest,24.299999237060547°C
2025-01-02T06:45:00+02:00 Bucharest,24.299999237060547°C
2025-01-02T06:50:17+02:00 Bucharest,25.200000762939453°C
2025-01-02T07:00:00+02:00 Bucharest,25.200000762939453°C
2025-01-02T07:15:00+02:00 Bucharest,25.200000762939453°C
2025-01-02T07:30:00+02:00 Bucharest,25.200000762939453°C
2025-01-02T07:45:00+02:00 Bucharest,25.100000381469727°C
2025-01-02T07:50:17+02:00 Bucharest,25°C
2025-01-02T08:00:00+02:00 Bucharest,25°C
2025-01-02T08:15:00+02:00 Bucharest,25°C
2025-01-02T08:30:00+02:00 Bucharest,25°C
2025-01-02T08:31:00+02:00 Bucharest,24.600000381469727°C
2025-01-02T08:40:17+02:00 Bucharest,24.5°C
2025-01-02T08:45:00+02:00 Bucharest,24.5°C
2025-01-02T08:50:18+02:00 Bucharest,24.399999618530273°C
2025-01-02T09:00:00+02:00 Bucharest,24.399999618530273°C
2025-01-02T09:15:00+02:00 Bucharest,24.399999618530273°C
2025-01-02T09:30:00+02:00 Bucharest,24.399999618530273°C
2025-01-02T09:45:00+02:00 Bucharest,24.399999618530273°C
2025-01-02T10:00:00+02:00 Bucharest,24.399999618530273°C
2025-01-02T10:15:00+02:00 Bucharest,24.399999618530273°C
2025-01-02T10:30:00+02:00 Bucharest,24.399999618530273°C
2025-01-02T10:31:00+02:00 Bucharest,25.600000381469727°C
2025-01-02T10:45:00+02:00 Bucharest,25.600000381469727°C
2025-01-02T11:00:00+02:00 Bucharest,25.600000381469727°C
2025-01-02T11:15:00+02:00 Bucharest,25.600000381469727°C
2025-01-02T11:30:00+02:00 Bucharest,25.600000381469727°C
2025-01-02T11:31:00+02:00 Bucharest,25.399999618530273°C
2025-01-02T11:45:00+02:00 Bucharest,25.299999237060547°C
2025-01-02T12:00:00+02:00 Bucharest,25.299999237060547°C
2025-01-02T12:01:00+02:00 Bucharest,25.200000762939453°C
2025-01-02T12:15:00+02:00 Bucharest,25.100000381469727°C
2025-01-02T12:30:00+02:00 Bucharest,25.100000381469727°C
2025-01-02T12:45:00+02:00 Bucharest,25.100000381469727°C
2025-01-02T12:50:17+02:00 Bucharest,24.899999618530273°C
2025-01-02T13:00:00+02:00 Bucharest,24.899999618530273°C
2025-01-02T13:10:17+02:00 Bucharest,24.700000762939453°C
2025-01-02T13:15:00+02:00 Bucharest,24.700000762939453°C
2025-01-02T13:30:00+02:00 Bucharest,24.700000762939453°C
2025-01-02T13:45:00+02:00 Bucharest,24.600000381469727°C
2025-01-02T13:50:17+02:00 Bucharest,24.5°C
2025-01-02T14:00:00+02:00 Bucharest,24.5°C
2025-01-02T14:15:00+02:00 Bucharest,24.5°C
2025-01-02T14:30:00+02:00 Bucharest,24.5°C
2025-01-02T14:40:17+02:00 Bucharest,24.200000762939453°C
2025-01-02T14:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-02T15:00:00+02:00 Bucharest,24.200000762939453°C
2025-01-02T15:15:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T15:30:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T15:31:00+02:00 Bucharest,24°C
2025-01-02T15:45:00+02:00 Bucharest,24°C
2025-01-02T16:00:00+02:00 Bucharest,24°C
2025-01-02T16:01:00+02:00 Bucharest,23.899999618530273°C
