ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-12T14:40:25.267Z hisSize:49272 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b8c-aab4b9e7 "Site B Room 2nca" lorawanPoint maxVal:100 his minVal:0 humidity id:@p:linkEdge:r:2d9aaf5a-0aed8a0b "Site B Room 2 AQ Humidity" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T03:00:00+02:00 Bucharest innLinkEdge kind:"Number" unit:"%RH" sensor cur amSensorRef:@p:linkEdge:r:2d9aaf5a-6e83ede1 "Site B Room 2 AQ" curStatus:"ok" amSensorAM107ModelId:"_amSensorAM107_point:humidity" point curVal:44.5%RH disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9aaf5a-8fb5e82f "2 AQ" navName:"Humidity" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9aaf5a-6e83ede1 "Site B Room 2 AQ" hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"humidity" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba"
2025-01-01T18:30:00+02:00 Bucharest,45.5%RH
2025-01-01T18:45:00+02:00 Bucharest,45.5%RH
2025-01-01T19:00:00+02:00 Bucharest,45.5%RH
2025-01-01T19:15:00+02:00 Bucharest,45.5%RH
2025-01-01T19:30:00+02:00 Bucharest,45.5%RH
2025-01-01T19:45:00+02:00 Bucharest,45.5%RH
2025-01-01T20:00:00+02:00 Bucharest,45.5%RH
2025-01-01T20:11:17+02:00 Bucharest,45%RH
2025-01-01T20:15:00+02:00 Bucharest,45%RH
2025-01-01T20:30:00+02:00 Bucharest,45%RH
2025-01-01T20:45:00+02:00 Bucharest,45%RH
2025-01-01T21:00:00+02:00 Bucharest,45%RH
2025-01-01T21:15:00+02:00 Bucharest,45%RH
2025-01-01T21:30:00+02:00 Bucharest,45%RH
2025-01-01T21:45:00+02:00 Bucharest,45%RH
2025-01-01T22:00:00+02:00 Bucharest,45%RH
2025-01-01T22:15:00+02:00 Bucharest,45%RH
2025-01-01T22:30:00+02:00 Bucharest,45%RH
2025-01-01T22:45:00+02:00 Bucharest,45%RH
2025-01-01T23:00:00+02:00 Bucharest,45%RH
2025-01-01T23:15:00+02:00 Bucharest,45%RH
2025-01-01T23:30:00+02:00 Bucharest,45%RH
2025-01-01T23:45:00+02:00 Bucharest,45%RH
2025-01-02T00:00:00+02:00 Bucharest,45%RH
2025-01-02T00:15:00+02:00 Bucharest,45%RH
2025-01-02T00:30:00+02:00 Bucharest,45%RH
2025-01-02T00:45:00+02:00 Bucharest,45%RH
2025-01-02T00:51:17+02:00 Bucharest,44.5%RH
2025-01-02T01:00:00+02:00 Bucharest,44.5%RH
2025-01-02T01:15:00+02:00 Bucharest,44.5%RH
2025-01-02T01:30:00+02:00 Bucharest,44.5%RH
2025-01-02T01:45:00+02:00 Bucharest,44.5%RH
2025-01-02T02:00:00+02:00 Bucharest,44.5%RH
2025-01-02T02:15:00+02:00 Bucharest,44.5%RH
2025-01-02T02:30:00+02:00 Bucharest,44.5%RH
2025-01-02T02:45:00+02:00 Bucharest,44.5%RH
2025-01-02T03:00:00+02:00 Bucharest,44.5%RH
2025-01-02T03:15:00+02:00 Bucharest,44.5%RH
2025-01-02T03:30:00+02:00 Bucharest,44.5%RH
2025-01-02T03:45:00+02:00 Bucharest,44.5%RH
2025-01-02T04:00:00+02:00 Bucharest,44.5%RH
2025-01-02T04:15:00+02:00 Bucharest,44.5%RH
2025-01-02T04:30:00+02:00 Bucharest,44.5%RH
