ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-12T14:46:51.78Z hisSize:51917 tz:"Bucharest" precision:1 roomRef:@p:linkEdge:r:2d996b7e-192811d1 "Site B Room 4 Living" lorawanPoint his id:@p:linkEdge:r:2d997a3d-7836afaf "Site B Room 4 Living AQ Temperature" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:45:00+02:00 Bucharest innLinkEdge kind:"Number" unit:"°C" sensor cur amSensorRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" curStatus:"ok" point curVal:25.2°C disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d997a3d-8ce770dd "4 Living AQ" navName:"Temperature" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" temp hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"temperature" floorRef:@p:linkEdge:r:2d996b5e-526d9983 "p:linkEdge:r:2d996b5e-526d9983" amSensorAM307ModelId:"_amSensorAM307_point:temperature"
2025-01-17T11:30:00+02:00 Bucharest,23.600000381469727°C
2025-01-17T11:31:44+02:00 Bucharest,23.399999618530273°C
2025-01-17T11:41:43+02:00 Bucharest,23.5°C
2025-01-17T11:45:00+02:00 Bucharest,23.5°C
2025-01-17T12:00:00+02:00 Bucharest,23.5°C
2025-01-17T12:11:43+02:00 Bucharest,23.700000762939453°C
2025-01-17T12:15:00+02:00 Bucharest,23.700000762939453°C
2025-01-17T12:21:43+02:00 Bucharest,23.799999237060547°C
2025-01-17T12:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-17T12:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-17T12:51:42+02:00 Bucharest,24.100000381469727°C
2025-01-17T13:00:00+02:00 Bucharest,24.100000381469727°C
2025-01-17T13:01:42+02:00 Bucharest,24.299999237060547°C
2025-01-17T13:15:00+02:00 Bucharest,24.399999618530273°C
2025-01-17T13:21:42+02:00 Bucharest,24.5°C
2025-01-17T13:30:00+02:00 Bucharest,24.5°C
2025-01-17T13:31:41+02:00 Bucharest,24.600000381469727°C
2025-01-17T13:45:00+02:00 Bucharest,24.600000381469727°C
2025-01-17T14:00:00+02:00 Bucharest,24.600000381469727°C
2025-01-17T14:11:41+02:00 Bucharest,24.799999237060547°C
2025-01-17T14:15:00+02:00 Bucharest,24.799999237060547°C
2025-01-17T14:30:00+02:00 Bucharest,24.899999618530273°C
2025-01-17T14:45:00+02:00 Bucharest,24.899999618530273°C
2025-01-17T15:00:00+02:00 Bucharest,24.899999618530273°C
2025-01-17T15:15:00+02:00 Bucharest,24.799999237060547°C
2025-01-17T15:30:00+02:00 Bucharest,24.799999237060547°C
2025-01-17T15:45:00+02:00 Bucharest,24.899999618530273°C
2025-01-17T16:00:00+02:00 Bucharest,24.899999618530273°C
2025-01-17T16:15:00+02:00 Bucharest,24.799999237060547°C
2025-01-17T16:30:00+02:00 Bucharest,24.799999237060547°C
2025-01-17T16:45:00+02:00 Bucharest,24.799999237060547°C
2025-01-17T17:00:00+02:00 Bucharest,24.799999237060547°C
2025-01-17T17:15:00+02:00 Bucharest,24.799999237060547°C
2025-01-17T17:30:00+02:00 Bucharest,24.799999237060547°C
2025-01-17T17:41:37+02:00 Bucharest,24.700000762939453°C
2025-01-17T17:45:00+02:00 Bucharest,24.700000762939453°C
2025-01-17T18:00:00+02:00 Bucharest,24.700000762939453°C
2025-01-17T18:15:00+02:00 Bucharest,24.600000381469727°C
2025-01-17T18:30:00+02:00 Bucharest,24.600000381469727°C
2025-01-17T18:45:00+02:00 Bucharest,24.600000381469727°C
2025-01-17T19:00:00+02:00 Bucharest,24.600000381469727°C
2025-01-17T19:01:36+02:00 Bucharest,24.5°C
2025-01-17T19:15:00+02:00 Bucharest,24.5°C
2025-01-17T19:30:00+02:00 Bucharest,24.5°C
2025-01-17T19:41:35+02:00 Bucharest,24.399999618530273°C
2025-01-17T19:45:00+02:00 Bucharest,24.399999618530273°C
2025-01-17T20:00:00+02:00 Bucharest,24.299999237060547°C
2025-01-17T20:15:00+02:00 Bucharest,24.299999237060547°C
2025-01-17T20:21:34+02:00 Bucharest,23.600000381469727°C
2025-01-17T20:30:00+02:00 Bucharest,23.600000381469727°C
2025-01-17T20:41:34+02:00 Bucharest,23.5°C
2025-01-17T20:45:00+02:00 Bucharest,23.5°C
2025-01-17T21:00:00+02:00 Bucharest,23.5°C
2025-01-17T21:11:33+02:00 Bucharest,23.700000762939453°C
2025-01-17T21:15:00+02:00 Bucharest,23.700000762939453°C
2025-01-17T21:30:00+02:00 Bucharest,23.700000762939453°C
2025-01-17T21:31:33+02:00 Bucharest,23.899999618530273°C
2025-01-17T21:45:00+02:00 Bucharest,23.899999618530273°C
2025-01-17T21:51:33+02:00 Bucharest,24.100000381469727°C
2025-01-17T22:00:00+02:00 Bucharest,24.100000381469727°C
2025-01-17T22:15:00+02:00 Bucharest,24.100000381469727°C
2025-01-17T22:21:32+02:00 Bucharest,24.299999237060547°C
2025-01-17T22:30:00+02:00 Bucharest,24.299999237060547°C
2025-01-17T22:45:00+02:00 Bucharest,24.299999237060547°C
2025-01-17T22:51:32+02:00 Bucharest,24.200000762939453°C
2025-01-17T23:00:00+02:00 Bucharest,24.200000762939453°C
2025-01-17T23:15:00+02:00 Bucharest,24.200000762939453°C
2025-01-17T23:30:00+02:00 Bucharest,24.200000762939453°C
2025-01-17T23:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-18T00:00:00+02:00 Bucharest,24.200000762939453°C
2025-01-18T00:11:30+02:00 Bucharest,23.799999237060547°C
2025-01-18T00:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-18T00:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-18T00:31:30+02:00 Bucharest,23.700000762939453°C
2025-01-18T00:45:00+02:00 Bucharest,23.700000762939453°C
2025-01-18T01:00:00+02:00 Bucharest,23.700000762939453°C
2025-01-18T01:01:29+02:00 Bucharest,23.5°C
2025-01-18T01:15:00+02:00 Bucharest,23.5°C
2025-01-18T01:30:00+02:00 Bucharest,23.5°C
2025-01-18T01:31:29+02:00 Bucharest,23.299999237060547°C
2025-01-18T01:45:00+02:00 Bucharest,23.299999237060547°C
2025-01-18T01:51:28+02:00 Bucharest,23.200000762939453°C
2025-01-18T02:00:00+02:00 Bucharest,23.200000762939453°C
2025-01-18T02:15:00+02:00 Bucharest,23.200000762939453°C
2025-01-18T02:30:00+02:00 Bucharest,23.200000762939453°C
2025-01-18T02:31:28+02:00 Bucharest,23.299999237060547°C
2025-01-18T02:45:00+02:00 Bucharest,23.299999237060547°C
2025-01-18T03:00:00+02:00 Bucharest,23.299999237060547°C
2025-01-18T03:15:00+02:00 Bucharest,23.299999237060547°C
2025-01-18T03:30:00+02:00 Bucharest,23.299999237060547°C
2025-01-18T03:31:27+02:00 Bucharest,23.700000762939453°C
2025-01-18T03:45:00+02:00 Bucharest,23.700000762939453°C
2025-01-18T03:51:26+02:00 Bucharest,23.899999618530273°C
2025-01-18T04:00:00+02:00 Bucharest,23.899999618530273°C
2025-01-18T04:01:26+02:00 Bucharest,24°C
2025-01-18T04:15:00+02:00 Bucharest,24°C
2025-01-18T04:30:00+02:00 Bucharest,24°C
2025-01-18T04:45:00+02:00 Bucharest,24°C
2025-01-18T05:00:00+02:00 Bucharest,24°C
2025-01-18T05:11:25+02:00 Bucharest,23.899999618530273°C
2025-01-18T05:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-18T05:30:00+02:00 Bucharest,23.899999618530273°C
2025-01-18T05:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-18T05:51:24+02:00 Bucharest,23.700000762939453°C
2025-01-18T06:00:00+02:00 Bucharest,23.700000762939453°C
2025-01-18T06:15:00+02:00 Bucharest,23.600000381469727°C
2025-01-18T06:30:00+02:00 Bucharest,23.600000381469727°C
2025-01-18T06:31:23+02:00 Bucharest,23.5°C
2025-01-18T06:41:23+02:00 Bucharest,23.399999618530273°C
2025-01-18T06:45:00+02:00 Bucharest,23.399999618530273°C
2025-01-18T07:00:00+02:00 Bucharest,23.399999618530273°C
2025-01-18T07:15:00+02:00 Bucharest,23.299999237060547°C
2025-01-18T07:30:00+02:00 Bucharest,23.299999237060547°C
2025-01-18T07:31:22+02:00 Bucharest,23.200000762939453°C
2025-01-18T07:45:00+02:00 Bucharest,23.200000762939453°C
2025-01-18T08:00:00+02:00 Bucharest,23.200000762939453°C
2025-01-18T08:15:00+02:00 Bucharest,23.200000762939453°C
2025-01-18T08:30:00+02:00 Bucharest,23.200000762939453°C
2025-01-18T08:45:00+02:00 Bucharest,23.200000762939453°C
2025-01-18T09:00:00+02:00 Bucharest,23.200000762939453°C
2025-01-18T09:11:21+02:00 Bucharest,23.799999237060547°C
2025-01-18T09:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-18T09:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-18T09:31:20+02:00 Bucharest,24°C
2025-01-18T09:41:20+02:00 Bucharest,24.100000381469727°C
2025-01-18T09:45:00+02:00 Bucharest,24.100000381469727°C
2025-01-18T10:00:00+02:00 Bucharest,24.100000381469727°C
2025-01-18T10:15:00+02:00 Bucharest,24.200000762939453°C
2025-01-18T10:30:00+02:00 Bucharest,24.200000762939453°C
2025-01-18T10:41:19+02:00 Bucharest,24.299999237060547°C
2025-01-18T10:45:00+02:00 Bucharest,24.299999237060547°C
2025-01-18T11:00:00+02:00 Bucharest,24.299999237060547°C
2025-01-18T11:15:00+02:00 Bucharest,24.299999237060547°C
2025-01-18T11:30:00+02:00 Bucharest,24.399999618530273°C
2025-01-18T11:45:00+02:00 Bucharest,24.399999618530273°C
2025-01-18T11:51:18+02:00 Bucharest,23.299999237060547°C
2025-01-18T12:00:00+02:00 Bucharest,23.299999237060547°C
2025-01-18T12:11:18+02:00 Bucharest,23.100000381469727°C
2025-01-18T12:15:00+02:00 Bucharest,23.100000381469727°C
2025-01-18T12:30:00+02:00 Bucharest,23.100000381469727°C
2025-01-18T12:31:19+02:00 Bucharest,22.299999237060547°C
2025-01-18T12:45:00+02:00 Bucharest,22.299999237060547°C
2025-01-18T13:00:00+02:00 Bucharest,22.299999237060547°C
2025-01-18T13:15:00+02:00 Bucharest,22.299999237060547°C
2025-01-18T13:21:17+02:00 Bucharest,21.700000762939453°C
2025-01-18T13:30:00+02:00 Bucharest,21.700000762939453°C
2025-01-18T13:45:00+02:00 Bucharest,21.700000762939453°C
2025-01-18T14:00:00+02:00 Bucharest,21.700000762939453°C
2025-01-18T14:11:15+02:00 Bucharest,21.899999618530273°C
2025-01-18T14:15:00+02:00 Bucharest,21.899999618530273°C
2025-01-18T14:30:00+02:00 Bucharest,21.899999618530273°C
2025-01-18T14:41:15+02:00 Bucharest,22°C
2025-01-18T14:45:00+02:00 Bucharest,22°C
2025-01-18T15:00:00+02:00 Bucharest,22°C
2025-01-18T15:15:00+02:00 Bucharest,22°C
2025-01-18T15:30:00+02:00 Bucharest,22°C
2025-01-18T15:31:14+02:00 Bucharest,21.899999618530273°C
2025-01-18T15:45:00+02:00 Bucharest,21.899999618530273°C
2025-01-18T16:00:00+02:00 Bucharest,21.899999618530273°C
2025-01-18T16:11:13+02:00 Bucharest,22.100000381469727°C
2025-01-18T16:15:00+02:00 Bucharest,22.100000381469727°C
2025-01-18T16:30:00+02:00 Bucharest,22.100000381469727°C
2025-01-18T16:45:00+02:00 Bucharest,22.100000381469727°C
2025-01-18T17:00:00+02:00 Bucharest,22.100000381469727°C
2025-01-18T17:11:12+02:00 Bucharest,23.200000762939453°C
2025-01-18T17:15:00+02:00 Bucharest,23.200000762939453°C
2025-01-18T17:21:13+02:00 Bucharest,23.399999618530273°C
2025-01-18T17:30:00+02:00 Bucharest,23.399999618530273°C
2025-01-18T17:41:12+02:00 Bucharest,23.700000762939453°C
2025-01-18T17:45:00+02:00 Bucharest,23.700000762939453°C
2025-01-18T17:51:12+02:00 Bucharest,23.799999237060547°C
2025-01-18T18:00:00+02:00 Bucharest,23.799999237060547°C
2025-01-18T18:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-18T18:21:11+02:00 Bucharest,24.100000381469727°C
2025-01-18T18:30:00+02:00 Bucharest,24.100000381469727°C
2025-01-18T18:45:00+02:00 Bucharest,24.100000381469727°C
2025-01-18T19:00:00+02:00 Bucharest,24.100000381469727°C
2025-01-18T19:11:10+02:00 Bucharest,24.299999237060547°C
2025-01-18T19:15:00+02:00 Bucharest,24.299999237060547°C
2025-01-18T19:30:00+02:00 Bucharest,24.299999237060547°C
2025-01-18T19:45:00+02:00 Bucharest,24.299999237060547°C
2025-01-18T19:51:09+02:00 Bucharest,24.5°C
2025-01-18T20:00:00+02:00 Bucharest,24.5°C
2025-01-18T20:11:09+02:00 Bucharest,24.700000762939453°C
2025-01-18T20:15:00+02:00 Bucharest,24.700000762939453°C
2025-01-18T20:30:00+02:00 Bucharest,24.700000762939453°C
2025-01-18T20:41:08+02:00 Bucharest,24.799999237060547°C
2025-01-18T20:45:00+02:00 Bucharest,24.799999237060547°C
2025-01-18T21:00:00+02:00 Bucharest,24.799999237060547°C
2025-01-18T21:15:00+02:00 Bucharest,24.799999237060547°C
2025-01-18T21:30:00+02:00 Bucharest,24.799999237060547°C
2025-01-18T21:45:00+02:00 Bucharest,24.799999237060547°C
2025-01-18T21:51:08+02:00 Bucharest,24.700000762939453°C
2025-01-18T22:00:00+02:00 Bucharest,24.700000762939453°C
2025-01-18T22:01:07+02:00 Bucharest,24.5°C
2025-01-18T22:15:00+02:00 Bucharest,24.5°C
2025-01-18T22:30:00+02:00 Bucharest,24.5°C
2025-01-18T22:31:06+02:00 Bucharest,24.399999618530273°C
2025-01-18T22:45:00+02:00 Bucharest,24.399999618530273°C
2025-01-18T23:00:00+02:00 Bucharest,24.399999618530273°C
2025-01-18T23:15:00+02:00 Bucharest,24.399999618530273°C
2025-01-18T23:30:00+02:00 Bucharest,24.399999618530273°C
2025-01-18T23:45:00+02:00 Bucharest,24.399999618530273°C
2025-01-18T23:51:05+02:00 Bucharest,23.899999618530273°C
2025-01-19T00:00:00+02:00 Bucharest,23.899999618530273°C
2025-01-19T00:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-19T00:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-19T00:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-19T01:00:00+02:00 Bucharest,23.799999237060547°C
2025-01-19T01:01:04+02:00 Bucharest,23.200000762939453°C
2025-01-19T01:15:00+02:00 Bucharest,23.100000381469727°C
2025-01-19T01:30:00+02:00 Bucharest,23.100000381469727°C
2025-01-19T01:45:00+02:00 Bucharest,23.100000381469727°C
2025-01-19T02:00:00+02:00 Bucharest,23.100000381469727°C
2025-01-19T02:01:03+02:00 Bucharest,23°C
2025-01-19T02:15:00+02:00 Bucharest,23°C
2025-01-19T02:30:00+02:00 Bucharest,23°C
2025-01-19T02:41:03+02:00 Bucharest,23.200000762939453°C
2025-01-19T02:45:00+02:00 Bucharest,23.200000762939453°C
2025-01-19T02:51:02+02:00 Bucharest,23.299999237060547°C
2025-01-19T03:00:00+02:00 Bucharest,23.299999237060547°C
2025-01-19T03:15:00+02:00 Bucharest,23.399999618530273°C
2025-01-19T03:30:00+02:00 Bucharest,23.399999618530273°C
2025-01-19T03:31:01+02:00 Bucharest,23.600000381469727°C
2025-01-19T03:45:00+02:00 Bucharest,23.600000381469727°C
2025-01-19T04:00:00+02:00 Bucharest,23.600000381469727°C
2025-01-19T04:15:00+02:00 Bucharest,23.600000381469727°C
2025-01-19T04:30:00+02:00 Bucharest,23.600000381469727°C
2025-01-19T04:45:00+02:00 Bucharest,23.600000381469727°C
2025-01-19T04:51:00+02:00 Bucharest,23.799999237060547°C
2025-01-19T05:00:00+02:00 Bucharest,23.799999237060547°C
2025-01-19T05:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-19T05:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-19T05:31:00+02:00 Bucharest,23.700000762939453°C
2025-01-19T05:45:00+02:00 Bucharest,23.700000762939453°C
2025-01-19T06:00:00+02:00 Bucharest,23.700000762939453°C
2025-01-19T06:15:00+02:00 Bucharest,23.600000381469727°C
2025-01-19T06:30:00+02:00 Bucharest,23.600000381469727°C
2025-01-19T06:31:00+02:00 Bucharest,23.399999618530273°C
2025-01-19T06:45:00+02:00 Bucharest,23.299999237060547°C
2025-01-19T07:00:00+02:00 Bucharest,23.299999237060547°C
2025-01-19T07:10:57+02:00 Bucharest,23.200000762939453°C
2025-01-19T07:15:00+02:00 Bucharest,23.200000762939453°C
2025-01-19T07:30:00+02:00 Bucharest,23.200000762939453°C
2025-01-19T07:31:00+02:00 Bucharest,23.299999237060547°C
2025-01-19T07:45:00+02:00 Bucharest,23.299999237060547°C
2025-01-19T08:00:00+02:00 Bucharest,23.299999237060547°C
2025-01-19T08:15:00+02:00 Bucharest,23.399999618530273°C
2025-01-19T08:20:56+02:00 Bucharest,23.600000381469727°C
2025-01-19T08:30:00+02:00 Bucharest,23.600000381469727°C
2025-01-19T08:45:00+02:00 Bucharest,23.600000381469727°C
2025-01-19T09:00:00+02:00 Bucharest,23.600000381469727°C
2025-01-19T09:15:00+02:00 Bucharest,23.600000381469727°C
2025-01-19T09:20:55+02:00 Bucharest,24°C
2025-01-19T09:30:00+02:00 Bucharest,24°C
2025-01-19T09:45:00+02:00 Bucharest,24°C
2025-01-19T09:50:55+02:00 Bucharest,24.100000381469727°C
2025-01-19T10:00:00+02:00 Bucharest,24.100000381469727°C
2025-01-19T10:15:00+02:00 Bucharest,24.100000381469727°C
2025-01-19T10:30:00+02:00 Bucharest,24.200000762939453°C
2025-01-19T10:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-19T11:00:00+02:00 Bucharest,24.200000762939453°C
2025-01-19T11:15:00+02:00 Bucharest,24.200000762939453°C
2025-01-19T11:30:00+02:00 Bucharest,24.200000762939453°C
2025-01-19T11:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-19T12:00:00+02:00 Bucharest,24.200000762939453°C
2025-01-19T12:15:00+02:00 Bucharest,24.200000762939453°C
2025-01-19T12:30:00+02:00 Bucharest,24.200000762939453°C
2025-01-19T12:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-19T12:50:51+02:00 Bucharest,24.399999618530273°C
2025-01-19T13:00:00+02:00 Bucharest,24.399999618530273°C
2025-01-19T13:15:00+02:00 Bucharest,24.299999237060547°C
2025-01-19T13:30:00+02:00 Bucharest,24.299999237060547°C
2025-01-19T13:45:00+02:00 Bucharest,24.299999237060547°C
2025-01-19T13:50:50+02:00 Bucharest,24.200000762939453°C
2025-01-19T14:00:00+02:00 Bucharest,24.200000762939453°C
2025-01-19T14:15:00+02:00 Bucharest,24.200000762939453°C
2025-01-19T14:30:00+02:00 Bucharest,24.200000762939453°C
2025-01-19T14:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-19T15:00:00+02:00 Bucharest,24.200000762939453°C
2025-01-19T15:15:00+02:00 Bucharest,24.200000762939453°C
2025-01-19T15:30:00+02:00 Bucharest,24.200000762939453°C
2025-01-19T15:40:48+02:00 Bucharest,23.899999618530273°C
2025-01-19T15:45:00+02:00 Bucharest,23.899999618530273°C
2025-01-19T16:00:00+02:00 Bucharest,23.799999237060547°C
2025-01-19T16:10:48+02:00 Bucharest,23.600000381469727°C
2025-01-19T16:15:00+02:00 Bucharest,23.600000381469727°C
2025-01-19T16:30:00+02:00 Bucharest,23.600000381469727°C
2025-01-19T16:40:47+02:00 Bucharest,23.5°C
2025-01-19T16:45:00+02:00 Bucharest,23.5°C
2025-01-19T16:50:47+02:00 Bucharest,23.399999618530273°C
2025-01-19T17:00:00+02:00 Bucharest,23.399999618530273°C
2025-01-19T17:15:00+02:00 Bucharest,23.299999237060547°C
2025-01-19T17:30:00+02:00 Bucharest,23.399999618530273°C
2025-01-19T17:45:00+02:00 Bucharest,23.399999618530273°C
2025-01-19T18:00:00+02:00 Bucharest,23.399999618530273°C
2025-01-19T18:15:00+02:00 Bucharest,23.399999618530273°C
2025-01-19T18:20:45+02:00 Bucharest,23.799999237060547°C
2025-01-19T18:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-19T18:31:00+02:00 Bucharest,24°C
2025-01-19T18:45:00+02:00 Bucharest,24°C
2025-01-19T18:50:45+02:00 Bucharest,24.299999237060547°C
2025-01-19T19:00:00+02:00 Bucharest,24.299999237060547°C
2025-01-19T19:15:00+02:00 Bucharest,24.399999618530273°C
2025-01-19T19:30:00+02:00 Bucharest,24.399999618530273°C
2025-01-19T19:31:00+02:00 Bucharest,24.5°C
2025-01-19T19:45:00+02:00 Bucharest,24.5°C
2025-01-19T20:00:00+02:00 Bucharest,24.5°C
2025-01-19T20:15:00+02:00 Bucharest,24.5°C
2025-01-19T20:30:00+02:00 Bucharest,24.5°C
2025-01-19T20:45:00+02:00 Bucharest,24.5°C
2025-01-19T20:50:43+02:00 Bucharest,24.600000381469727°C
2025-01-19T21:00:00+02:00 Bucharest,24.600000381469727°C
2025-01-19T21:15:00+02:00 Bucharest,24.700000762939453°C
2025-01-19T21:30:00+02:00 Bucharest,24.700000762939453°C
2025-01-19T21:45:00+02:00 Bucharest,24.600000381469727°C
2025-01-19T22:00:00+02:00 Bucharest,24.600000381469727°C
2025-01-19T22:10:42+02:00 Bucharest,24.5°C
2025-01-19T22:15:00+02:00 Bucharest,24.5°C
2025-01-19T22:30:00+02:00 Bucharest,24.5°C
2025-01-19T22:40:41+02:00 Bucharest,24.399999618530273°C
2025-01-19T22:45:00+02:00 Bucharest,24.399999618530273°C
2025-01-19T23:00:00+02:00 Bucharest,24.299999237060547°C
2025-01-19T23:10:40+02:00 Bucharest,24.200000762939453°C
2025-01-19T23:15:00+02:00 Bucharest,24.200000762939453°C
2025-01-19T23:30:00+02:00 Bucharest,24.200000762939453°C
2025-01-19T23:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-19T23:50:40+02:00 Bucharest,23.899999618530273°C
2025-01-20T00:00:00+02:00 Bucharest,23.899999618530273°C
2025-01-20T00:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-20T00:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-20T00:31:00+02:00 Bucharest,23.5°C
2025-01-20T00:40:39+02:00 Bucharest,23.399999618530273°C
2025-01-20T00:45:00+02:00 Bucharest,23.399999618530273°C
2025-01-20T01:00:00+02:00 Bucharest,23.299999237060547°C
2025-01-20T01:10:38+02:00 Bucharest,23.100000381469727°C
2025-01-20T01:15:00+02:00 Bucharest,23.100000381469727°C
2025-01-20T01:30:00+02:00 Bucharest,23.100000381469727°C
2025-01-20T01:40:38+02:00 Bucharest,23°C
2025-01-20T01:45:00+02:00 Bucharest,23°C
2025-01-20T01:50:38+02:00 Bucharest,23.100000381469727°C
2025-01-20T02:00:00+02:00 Bucharest,23.100000381469727°C
2025-01-20T02:15:00+02:00 Bucharest,23.100000381469727°C
2025-01-20T02:20:37+02:00 Bucharest,23.299999237060547°C
2025-01-20T02:30:00+02:00 Bucharest,23.299999237060547°C
2025-01-20T02:45:00+02:00 Bucharest,23.299999237060547°C
2025-01-20T03:00:00+02:00 Bucharest,23.299999237060547°C
2025-01-20T03:10:36+02:00 Bucharest,23.799999237060547°C
2025-01-20T03:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-20T03:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-20T03:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-20T03:50:35+02:00 Bucharest,24°C
2025-01-20T04:00:00+02:00 Bucharest,24°C
2025-01-20T04:15:00+02:00 Bucharest,24°C
2025-01-20T04:30:00+02:00 Bucharest,24°C
2025-01-20T04:45:00+02:00 Bucharest,24°C
2025-01-20T05:00:00+02:00 Bucharest,24°C
2025-01-20T05:15:00+02:00 Bucharest,24°C
2025-01-20T05:30:00+02:00 Bucharest,24°C
2025-01-20T05:45:00+02:00 Bucharest,24°C
2025-01-20T05:50:34+02:00 Bucharest,23.600000381469727°C
2025-01-20T06:00:00+02:00 Bucharest,23.600000381469727°C
2025-01-20T06:15:00+02:00 Bucharest,23.600000381469727°C
2025-01-20T06:20:33+02:00 Bucharest,23.399999618530273°C
2025-01-20T06:30:00+02:00 Bucharest,23.399999618530273°C
2025-01-20T06:45:00+02:00 Bucharest,23.399999618530273°C
2025-01-20T07:00:00+02:00 Bucharest,23.299999237060547°C
2025-01-20T07:01:00+02:00 Bucharest,23.200000762939453°C
2025-01-20T07:15:00+02:00 Bucharest,23.200000762939453°C
2025-01-20T07:30:00+02:00 Bucharest,23.200000762939453°C
2025-01-20T07:45:00+02:00 Bucharest,23.200000762939453°C
2025-01-20T08:00:00+02:00 Bucharest,23.200000762939453°C
2025-01-20T08:15:00+02:00 Bucharest,23.200000762939453°C
2025-01-20T08:20:31+02:00 Bucharest,23.399999618530273°C
2025-01-20T08:30:00+02:00 Bucharest,23.399999618530273°C
2025-01-20T08:31:00+02:00 Bucharest,23.5°C
2025-01-20T08:45:00+02:00 Bucharest,23.5°C
2025-01-20T08:50:30+02:00 Bucharest,23.700000762939453°C
2025-01-20T09:00:00+02:00 Bucharest,23.700000762939453°C
2025-01-20T09:10:30+02:00 Bucharest,23.799999237060547°C
2025-01-20T09:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-20T09:30:00+02:00 Bucharest,23.899999618530273°C
2025-01-20T09:40:30+02:00 Bucharest,24°C
2025-01-20T09:45:00+02:00 Bucharest,24°C
2025-01-20T10:00:00+02:00 Bucharest,24°C
2025-01-20T10:15:00+02:00 Bucharest,24°C
2025-01-20T10:30:00+02:00 Bucharest,24°C
2025-01-20T10:31:00+02:00 Bucharest,24.200000762939453°C
2025-01-20T10:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-20T11:00:00+02:00 Bucharest,24.200000762939453°C
2025-01-20T11:10:28+02:00 Bucharest,24.299999237060547°C
2025-01-20T11:15:00+02:00 Bucharest,24.299999237060547°C
2025-01-20T11:30:00+02:00 Bucharest,24.299999237060547°C
2025-01-20T11:45:00+02:00 Bucharest,24.299999237060547°C
2025-01-20T12:00:00+02:00 Bucharest,24.399999618530273°C
2025-01-20T12:10:27+02:00 Bucharest,24.5°C
2025-01-20T12:15:00+02:00 Bucharest,24.5°C
2025-01-20T12:30:00+02:00 Bucharest,24.5°C
2025-01-20T12:45:00+02:00 Bucharest,24.5°C
2025-01-20T12:50:26+02:00 Bucharest,24.399999618530273°C
2025-01-20T13:00:00+02:00 Bucharest,24.399999618530273°C
2025-01-20T13:15:00+02:00 Bucharest,24.299999237060547°C
2025-01-20T13:30:00+02:00 Bucharest,24.299999237060547°C
2025-01-20T13:45:00+02:00 Bucharest,24.299999237060547°C
2025-01-20T14:00:00+02:00 Bucharest,24.299999237060547°C
2025-01-20T14:15:00+02:00 Bucharest,24.299999237060547°C
2025-01-20T14:30:00+02:00 Bucharest,24.299999237060547°C
2025-01-20T14:45:00+02:00 Bucharest,24.299999237060547°C
2025-01-20T14:50:24+02:00 Bucharest,24.200000762939453°C
2025-01-20T15:00:00+02:00 Bucharest,24.200000762939453°C
2025-01-20T15:15:00+02:00 Bucharest,24.200000762939453°C
2025-01-20T15:30:00+02:00 Bucharest,24.200000762939453°C
2025-01-20T15:45:00+02:00 Bucharest,24.200000762939453°C
