ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-12T14:46:51.78Z hisSize:51917 tz:"Bucharest" precision:1 roomRef:@p:linkEdge:r:2d996b7e-192811d1 "Site B Room 4 Living" lorawanPoint his id:@p:linkEdge:r:2d997a3d-7836afaf "Site B Room 4 Living AQ Temperature" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:45:00+02:00 Bucharest innLinkEdge kind:"Number" unit:"°C" sensor cur amSensorRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" curStatus:"ok" point curVal:25.2°C disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d997a3d-8ce770dd "4 Living AQ" navName:"Temperature" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" temp hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"temperature" floorRef:@p:linkEdge:r:2d996b5e-526d9983 "p:linkEdge:r:2d996b5e-526d9983" amSensorAM307ModelId:"_amSensorAM307_point:temperature"
2025-01-01T16:15:00+02:00 Bucharest,24.700000762939453°C
2025-01-01T16:30:00+02:00 Bucharest,24.600000381469727°C
2025-01-01T16:38:24+02:00 Bucharest,24.5°C
2025-01-01T16:45:00+02:00 Bucharest,24.5°C
2025-01-01T17:00:00+02:00 Bucharest,24.5°C
2025-01-01T17:15:00+02:00 Bucharest,24.5°C
2025-01-01T17:30:00+02:00 Bucharest,24.5°C
2025-01-01T17:38:23+02:00 Bucharest,24.399999618530273°C
2025-01-01T17:45:00+02:00 Bucharest,24.399999618530273°C
2025-01-01T18:00:00+02:00 Bucharest,24.299999237060547°C
2025-01-01T18:15:00+02:00 Bucharest,24.299999237060547°C
2025-01-01T18:28:22+02:00 Bucharest,24.200000762939453°C
2025-01-01T18:30:00+02:00 Bucharest,24.200000762939453°C
2025-01-01T18:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-01T18:58:22+02:00 Bucharest,24.299999237060547°C
2025-01-01T19:00:00+02:00 Bucharest,24.299999237060547°C
2025-01-01T19:15:00+02:00 Bucharest,24.299999237060547°C
2025-01-01T19:28:21+02:00 Bucharest,24.5°C
2025-01-01T19:30:00+02:00 Bucharest,24.5°C
2025-01-01T19:45:00+02:00 Bucharest,24.5°C
2025-01-01T19:48:21+02:00 Bucharest,24.799999237060547°C
2025-01-01T20:00:00+02:00 Bucharest,24.799999237060547°C
2025-01-01T20:15:00+02:00 Bucharest,24.899999618530273°C
2025-01-01T20:30:00+02:00 Bucharest,24.899999618530273°C
2025-01-01T20:45:00+02:00 Bucharest,24.899999618530273°C
2025-01-01T20:48:20+02:00 Bucharest,25°C
2025-01-01T21:00:00+02:00 Bucharest,25°C
2025-01-01T21:15:00+02:00 Bucharest,25°C
2025-01-01T21:30:00+02:00 Bucharest,25°C
