ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 cur amSensorRef:@p:linkEdge:r:2d9ab1c2-a2fb47fa "Site B Room 3 AQ" mod:2024-04-12T14:42:32.278Z hisSize:81045 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b95-ed5a18fd "Site B Room 3" lorawanPoint curStatus:"ok" amSensorAM107ModelId:"_amSensorAM107_point:tvoc" point his curVal:107ppb disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9ab1c2-71da2caa "3 AQ" navName:"TVOC" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9ab1c2-a2fb47fa "Site B Room 3 AQ" id:@p:linkEdge:r:2d9ab1c2-48217394 "Site B Room 3 AQ TVOC" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T03:00:00+02:00 Bucharest airQuality hisStatus:"ok" innLinkEdge kind:"Number" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"tvoc" unit:"ppb" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba" sensor
2025-01-01T12:45:00+02:00 Bucharest,266ppb
2025-01-01T13:00:00+02:00 Bucharest,266ppb
2025-01-01T13:09:48+02:00 Bucharest,249ppb
2025-01-01T13:15:00+02:00 Bucharest,249ppb
2025-01-01T13:29:48+02:00 Bucharest,230ppb
2025-01-01T13:30:00+02:00 Bucharest,230ppb
2025-01-01T13:45:00+02:00 Bucharest,230ppb
2025-01-01T13:49:49+02:00 Bucharest,205ppb
2025-01-01T14:00:00+02:00 Bucharest,205ppb
2025-01-01T14:09:48+02:00 Bucharest,204ppb
2025-01-01T14:15:00+02:00 Bucharest,204ppb
2025-01-01T14:19:49+02:00 Bucharest,200ppb
2025-01-01T14:30:00+02:00 Bucharest,200ppb
2025-01-01T14:45:00+02:00 Bucharest,200ppb
2025-01-01T14:49:48+02:00 Bucharest,217ppb
2025-01-01T15:00:00+02:00 Bucharest,217ppb
2025-01-01T15:10:01+02:00 Bucharest,223ppb
2025-01-01T15:15:00+02:00 Bucharest,223ppb
2025-01-01T15:29:49+02:00 Bucharest,225ppb
2025-01-01T15:30:00+02:00 Bucharest,225ppb
2025-01-01T15:39:49+02:00 Bucharest,222ppb
2025-01-01T15:45:00+02:00 Bucharest,222ppb
2025-01-01T15:59:49+02:00 Bucharest,217ppb
2025-01-01T16:00:00+02:00 Bucharest,217ppb
2025-01-01T16:09:49+02:00 Bucharest,215ppb
2025-01-01T16:15:00+02:00 Bucharest,215ppb
2025-01-01T16:19:48+02:00 Bucharest,214ppb
2025-01-01T16:29:48+02:00 Bucharest,210ppb
2025-01-01T16:30:00+02:00 Bucharest,210ppb
2025-01-01T16:45:00+02:00 Bucharest,210ppb
2025-01-01T17:00:00+02:00 Bucharest,210ppb
2025-01-01T17:15:00+02:00 Bucharest,210ppb
2025-01-01T17:19:49+02:00 Bucharest,203ppb
2025-01-01T17:30:00+02:00 Bucharest,203ppb
2025-01-01T17:45:00+02:00 Bucharest,203ppb
2025-01-01T17:49:49+02:00 Bucharest,207ppb
2025-01-01T18:00:00+02:00 Bucharest,207ppb
2025-01-01T18:09:48+02:00 Bucharest,213ppb
2025-01-01T18:15:00+02:00 Bucharest,213ppb
2025-01-01T18:30:00+02:00 Bucharest,213ppb
2025-01-01T18:45:00+02:00 Bucharest,213ppb
2025-01-01T18:49:49+02:00 Bucharest,215ppb
2025-01-01T19:00:00+02:00 Bucharest,215ppb
2025-01-01T19:15:00+02:00 Bucharest,215ppb
2025-01-01T19:19:48+02:00 Bucharest,204ppb
2025-01-01T19:29:49+02:00 Bucharest,200ppb
2025-01-01T19:30:00+02:00 Bucharest,200ppb
2025-01-01T19:45:00+02:00 Bucharest,200ppb
2025-01-01T20:00:00+02:00 Bucharest,200ppb
2025-01-01T20:09:49+02:00 Bucharest,199ppb
2025-01-01T20:15:00+02:00 Bucharest,199ppb
2025-01-01T20:30:00+02:00 Bucharest,199ppb
2025-01-01T20:45:00+02:00 Bucharest,199ppb
2025-01-01T20:49:48+02:00 Bucharest,201ppb
2025-01-01T20:59:48+02:00 Bucharest,198ppb
2025-01-01T21:00:00+02:00 Bucharest,198ppb
2025-01-01T21:15:00+02:00 Bucharest,198ppb
2025-01-01T21:30:00+02:00 Bucharest,198ppb
2025-01-01T21:45:00+02:00 Bucharest,198ppb
2025-01-01T22:00:00+02:00 Bucharest,198ppb
2025-01-01T22:09:48+02:00 Bucharest,204ppb
2025-01-01T22:15:00+02:00 Bucharest,204ppb
2025-01-01T22:30:00+02:00 Bucharest,204ppb
2025-01-01T22:45:00+02:00 Bucharest,204ppb
2025-01-01T22:49:49+02:00 Bucharest,199ppb
2025-01-01T23:00:00+02:00 Bucharest,199ppb
2025-01-01T23:09:48+02:00 Bucharest,194ppb
2025-01-01T23:15:00+02:00 Bucharest,194ppb
2025-01-01T23:30:00+02:00 Bucharest,194ppb
2025-01-01T23:39:49+02:00 Bucharest,192ppb
2025-01-01T23:45:00+02:00 Bucharest,192ppb
2025-01-01T23:59:49+02:00 Bucharest,190ppb
2025-01-02T00:00:00+02:00 Bucharest,190ppb
2025-01-02T00:15:00+02:00 Bucharest,190ppb
2025-01-02T00:30:00+02:00 Bucharest,190ppb
2025-01-02T00:39:49+02:00 Bucharest,192ppb
2025-01-02T00:45:00+02:00 Bucharest,192ppb
2025-01-02T00:59:49+02:00 Bucharest,191ppb
2025-01-02T01:00:00+02:00 Bucharest,191ppb
2025-01-02T01:15:00+02:00 Bucharest,191ppb
2025-01-02T01:19:49+02:00 Bucharest,186ppb
2025-01-02T01:30:00+02:00 Bucharest,186ppb
2025-01-02T01:45:00+02:00 Bucharest,186ppb
2025-01-02T01:59:48+02:00 Bucharest,192ppb
2025-01-02T02:00:00+02:00 Bucharest,192ppb
2025-01-02T02:09:49+02:00 Bucharest,199ppb
2025-01-02T02:15:00+02:00 Bucharest,199ppb
2025-01-02T02:29:49+02:00 Bucharest,210ppb
2025-01-02T02:30:00+02:00 Bucharest,210ppb
2025-01-02T02:45:00+02:00 Bucharest,210ppb
2025-01-02T02:59:49+02:00 Bucharest,209ppb
2025-01-02T03:00:00+02:00 Bucharest,209ppb
2025-01-02T03:09:48+02:00 Bucharest,204ppb
2025-01-02T03:15:00+02:00 Bucharest,204ppb
2025-01-02T03:30:00+02:00 Bucharest,204ppb
2025-01-02T03:45:00+02:00 Bucharest,204ppb
2025-01-02T03:59:49+02:00 Bucharest,203ppb
2025-01-02T04:00:00+02:00 Bucharest,203ppb
2025-01-02T04:15:00+02:00 Bucharest,203ppb
2025-01-02T04:30:00+02:00 Bucharest,203ppb
2025-01-02T04:31:00+02:00 Bucharest,202ppb
2025-01-02T04:45:00+02:00 Bucharest,202ppb
2025-01-02T05:00:00+02:00 Bucharest,202ppb
2025-01-02T05:09:49+02:00 Bucharest,208ppb
2025-01-02T05:15:00+02:00 Bucharest,208ppb
2025-01-02T05:19:49+02:00 Bucharest,206ppb
2025-01-02T05:30:00+02:00 Bucharest,206ppb
2025-01-02T05:45:00+02:00 Bucharest,206ppb
2025-01-02T06:00:00+02:00 Bucharest,206ppb
2025-01-02T06:09:49+02:00 Bucharest,209ppb
2025-01-02T06:15:00+02:00 Bucharest,209ppb
2025-01-02T06:19:49+02:00 Bucharest,206ppb
2025-01-02T06:29:49+02:00 Bucharest,207ppb
2025-01-02T06:30:00+02:00 Bucharest,207ppb
2025-01-02T06:45:00+02:00 Bucharest,207ppb
2025-01-02T06:49:49+02:00 Bucharest,209ppb
2025-01-02T07:00:00+02:00 Bucharest,209ppb
2025-01-02T07:15:00+02:00 Bucharest,209ppb
2025-01-02T07:30:00+02:00 Bucharest,209ppb
2025-01-02T07:39:49+02:00 Bucharest,214ppb
2025-01-02T07:45:00+02:00 Bucharest,214ppb
2025-01-02T07:49:49+02:00 Bucharest,212ppb
2025-01-02T08:00:00+02:00 Bucharest,212ppb
2025-01-02T08:15:00+02:00 Bucharest,212ppb
2025-01-02T08:29:49+02:00 Bucharest,207ppb
2025-01-02T08:30:00+02:00 Bucharest,207ppb
2025-01-02T08:39:49+02:00 Bucharest,208ppb
2025-01-02T08:45:00+02:00 Bucharest,208ppb
2025-01-02T08:50:01+02:00 Bucharest,206ppb
2025-01-02T08:59:49+02:00 Bucharest,207ppb
2025-01-02T09:00:00+02:00 Bucharest,207ppb
2025-01-02T09:09:49+02:00 Bucharest,203ppb
2025-01-02T09:15:00+02:00 Bucharest,203ppb
2025-01-02T09:30:00+02:00 Bucharest,203ppb
2025-01-02T09:39:49+02:00 Bucharest,204ppb
2025-01-02T09:45:00+02:00 Bucharest,204ppb
2025-01-02T09:49:49+02:00 Bucharest,202ppb
2025-01-02T10:00:00+02:00 Bucharest,202ppb
2025-01-02T10:15:00+02:00 Bucharest,202ppb
2025-01-02T10:29:49+02:00 Bucharest,212ppb
2025-01-02T10:30:00+02:00 Bucharest,212ppb
2025-01-02T10:45:00+02:00 Bucharest,212ppb
2025-01-02T10:59:49+02:00 Bucharest,211ppb
2025-01-02T11:00:00+02:00 Bucharest,211ppb
2025-01-02T11:09:49+02:00 Bucharest,208ppb
2025-01-02T11:15:00+02:00 Bucharest,208ppb
2025-01-02T11:29:49+02:00 Bucharest,203ppb
2025-01-02T11:30:00+02:00 Bucharest,203ppb
2025-01-02T11:39:49+02:00 Bucharest,205ppb
2025-01-02T11:45:00+02:00 Bucharest,205ppb
2025-01-02T12:00:00+02:00 Bucharest,205ppb
2025-01-02T12:01:00+02:00 Bucharest,199ppb
2025-01-02T12:15:00+02:00 Bucharest,199ppb
2025-01-02T12:30:00+02:00 Bucharest,199ppb
2025-01-02T12:45:00+02:00 Bucharest,199ppb
2025-01-02T12:49:50+02:00 Bucharest,202ppb
2025-01-02T12:59:49+02:00 Bucharest,203ppb
2025-01-02T13:00:00+02:00 Bucharest,203ppb
2025-01-02T13:09:49+02:00 Bucharest,200ppb
2025-01-02T13:15:00+02:00 Bucharest,200ppb
2025-01-02T13:19:49+02:00 Bucharest,198ppb
2025-01-02T13:29:49+02:00 Bucharest,195ppb
2025-01-02T13:30:00+02:00 Bucharest,195ppb
2025-01-02T13:45:00+02:00 Bucharest,195ppb
2025-01-02T13:50:01+02:00 Bucharest,197ppb
2025-01-02T14:00:00+02:00 Bucharest,197ppb
2025-01-02T14:15:00+02:00 Bucharest,197ppb
2025-01-02T14:30:00+02:00 Bucharest,197ppb
2025-01-02T14:39:49+02:00 Bucharest,207ppb
2025-01-02T14:45:00+02:00 Bucharest,207ppb
2025-01-02T14:59:49+02:00 Bucharest,201ppb
2025-01-02T15:00:00+02:00 Bucharest,201ppb
2025-01-02T15:09:49+02:00 Bucharest,199ppb
2025-01-02T15:15:00+02:00 Bucharest,199ppb
2025-01-02T15:19:49+02:00 Bucharest,194ppb
2025-01-02T15:29:49+02:00 Bucharest,191ppb
2025-01-02T15:30:00+02:00 Bucharest,191ppb
2025-01-02T15:39:50+02:00 Bucharest,186ppb
2025-01-02T15:45:00+02:00 Bucharest,186ppb
2025-01-02T15:49:49+02:00 Bucharest,182ppb
2025-01-02T15:59:49+02:00 Bucharest,180ppb
2025-01-02T16:00:00+02:00 Bucharest,180ppb
2025-01-02T16:15:00+02:00 Bucharest,180ppb
2025-01-02T16:19:49+02:00 Bucharest,173ppb
2025-01-02T16:30:00+02:00 Bucharest,173ppb
2025-01-02T16:45:00+02:00 Bucharest,173ppb
2025-01-02T16:49:50+02:00 Bucharest,170ppb
2025-01-02T16:59:49+02:00 Bucharest,165ppb
2025-01-02T17:00:00+02:00 Bucharest,165ppb
2025-01-02T17:15:00+02:00 Bucharest,165ppb
2025-01-02T17:29:49+02:00 Bucharest,171ppb
2025-01-02T17:30:00+02:00 Bucharest,171ppb
2025-01-02T17:45:00+02:00 Bucharest,171ppb
2025-01-02T17:49:49+02:00 Bucharest,173ppb
2025-01-02T18:00:00+02:00 Bucharest,173ppb
2025-01-02T18:09:49+02:00 Bucharest,174ppb
2025-01-02T18:15:00+02:00 Bucharest,174ppb
2025-01-02T18:19:49+02:00 Bucharest,172ppb
2025-01-02T18:30:00+02:00 Bucharest,172ppb
2025-01-02T18:39:49+02:00 Bucharest,165ppb
2025-01-02T18:45:00+02:00 Bucharest,165ppb
2025-01-02T19:00:00+02:00 Bucharest,165ppb
2025-01-02T19:10:02+02:00 Bucharest,161ppb
2025-01-02T19:15:00+02:00 Bucharest,161ppb
2025-01-02T19:19:49+02:00 Bucharest,159ppb
2025-01-02T19:30:00+02:00 Bucharest,159ppb
2025-01-02T19:45:00+02:00 Bucharest,159ppb
2025-01-02T19:49:49+02:00 Bucharest,156ppb
2025-01-02T20:00:00+02:00 Bucharest,156ppb
2025-01-02T20:09:49+02:00 Bucharest,155ppb
2025-01-02T20:15:00+02:00 Bucharest,155ppb
2025-01-02T20:19:49+02:00 Bucharest,156ppb
2025-01-02T20:29:49+02:00 Bucharest,154ppb
2025-01-02T20:30:00+02:00 Bucharest,154ppb
2025-01-02T20:45:00+02:00 Bucharest,154ppb
2025-01-02T20:59:49+02:00 Bucharest,153ppb
2025-01-02T21:00:00+02:00 Bucharest,153ppb
2025-01-02T21:15:00+02:00 Bucharest,153ppb
2025-01-02T21:30:00+02:00 Bucharest,153ppb
2025-01-02T21:39:49+02:00 Bucharest,151ppb
2025-01-02T21:45:00+02:00 Bucharest,151ppb
2025-01-02T22:00:00+02:00 Bucharest,151ppb
2025-01-02T22:10:02+02:00 Bucharest,158ppb
2025-01-02T22:15:00+02:00 Bucharest,158ppb
2025-01-02T22:19:49+02:00 Bucharest,161ppb
2025-01-02T22:30:00+02:00 Bucharest,161ppb
2025-01-02T22:39:49+02:00 Bucharest,158ppb
2025-01-02T22:45:00+02:00 Bucharest,158ppb
2025-01-02T22:49:49+02:00 Bucharest,153ppb
2025-01-02T23:00:00+02:00 Bucharest,153ppb
2025-01-02T23:15:00+02:00 Bucharest,153ppb
2025-01-02T23:19:49+02:00 Bucharest,166ppb
2025-01-02T23:30:00+02:00 Bucharest,166ppb
2025-01-02T23:39:50+02:00 Bucharest,169ppb
2025-01-02T23:45:00+02:00 Bucharest,169ppb
2025-01-03T00:00:00+02:00 Bucharest,169ppb
2025-01-03T00:09:50+02:00 Bucharest,168ppb
2025-01-03T00:15:00+02:00 Bucharest,168ppb
2025-01-03T00:30:00+02:00 Bucharest,168ppb
2025-01-03T00:45:00+02:00 Bucharest,168ppb
2025-01-03T00:49:50+02:00 Bucharest,166ppb
2025-01-03T01:00:00+02:00 Bucharest,166ppb
2025-01-03T01:15:00+02:00 Bucharest,166ppb
2025-01-03T01:19:50+02:00 Bucharest,167ppb
2025-01-03T01:30:00+02:00 Bucharest,167ppb
2025-01-03T01:31:00+02:00 Bucharest,172ppb
2025-01-03T01:39:49+02:00 Bucharest,173ppb
2025-01-03T01:45:00+02:00 Bucharest,173ppb
2025-01-03T02:00:00+02:00 Bucharest,173ppb
2025-01-03T02:09:49+02:00 Bucharest,179ppb
2025-01-03T02:15:00+02:00 Bucharest,179ppb
2025-01-03T02:30:00+02:00 Bucharest,179ppb
2025-01-03T02:45:00+02:00 Bucharest,179ppb
2025-01-03T03:00:00+02:00 Bucharest,179ppb
2025-01-03T03:15:00+02:00 Bucharest,179ppb
2025-01-03T03:30:00+02:00 Bucharest,179ppb
2025-01-03T03:39:49+02:00 Bucharest,177ppb
2025-01-03T03:45:00+02:00 Bucharest,177ppb
2025-01-03T04:00:00+02:00 Bucharest,177ppb
2025-01-03T04:01:00+02:00 Bucharest,171ppb
2025-01-03T04:09:50+02:00 Bucharest,172ppb
2025-01-03T04:15:00+02:00 Bucharest,172ppb
2025-01-03T04:30:00+02:00 Bucharest,172ppb
2025-01-03T04:45:00+02:00 Bucharest,172ppb
2025-01-03T04:59:49+02:00 Bucharest,170ppb
2025-01-03T05:00:00+02:00 Bucharest,170ppb
2025-01-03T05:15:00+02:00 Bucharest,170ppb
2025-01-03T05:30:00+02:00 Bucharest,170ppb
2025-01-03T05:45:00+02:00 Bucharest,170ppb
2025-01-03T05:49:50+02:00 Bucharest,171ppb
2025-01-03T06:00:00+02:00 Bucharest,171ppb
