ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-22T21:29:28.198Z hisSize:98251 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b84-7f20b3bf "Site B Room 1 Office" lorawanPoint maxVal:5 his minVal:1 id:@p:linkEdge:r:2d9972a1-f09bb340 "Site B Room 1 Office AQ TVOC" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T03:00:00+02:00 Bucharest innLinkEdge kind:"Number" unit:"ppb" amSensorAM319ModelId:"_amSensorAM319_point:tvoc" sensor cur amSensorRef:@p:linkEdge:r:2d9972a1-07d784a7 "Site B Room 1 Office AQ" curStatus:"ok" point curVal:185ppb disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9972a1-53363459 "1 Office AQ" navName:"TVOC" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9972a1-07d784a7 "Site B Room 1 Office AQ" airQuality hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"tvoc" floorRef:@p:linkEdge:r:2d996b5e-526d9983 "p:linkEdge:r:2d996b5e-526d9983"
2025-01-01T10:51:44+02:00 Bucharest,248ppb
2025-01-01T11:00:00+02:00 Bucharest,248ppb
2025-01-01T11:11:45+02:00 Bucharest,279ppb
2025-01-01T11:15:00+02:00 Bucharest,279ppb
2025-01-01T11:16:45+02:00 Bucharest,284ppb
2025-01-01T11:26:44+02:00 Bucharest,276ppb
2025-01-01T11:30:00+02:00 Bucharest,276ppb
2025-01-01T11:36:45+02:00 Bucharest,269ppb
2025-01-01T11:41:45+02:00 Bucharest,271ppb
2025-01-01T11:45:00+02:00 Bucharest,271ppb
2025-01-01T11:51:45+02:00 Bucharest,258ppb
2025-01-01T12:00:00+02:00 Bucharest,258ppb
2025-01-01T12:01:44+02:00 Bucharest,250ppb
2025-01-01T12:11:45+02:00 Bucharest,243ppb
2025-01-01T12:15:00+02:00 Bucharest,243ppb
2025-01-01T12:16:44+02:00 Bucharest,240ppb
2025-01-01T12:26:45+02:00 Bucharest,238ppb
2025-01-01T12:30:00+02:00 Bucharest,238ppb
2025-01-01T12:31:44+02:00 Bucharest,246ppb
2025-01-01T12:36:45+02:00 Bucharest,254ppb
2025-01-01T12:41:45+02:00 Bucharest,253ppb
2025-01-01T12:45:00+02:00 Bucharest,253ppb
2025-01-01T12:46:45+02:00 Bucharest,262ppb
2025-01-01T13:00:00+02:00 Bucharest,262ppb
2025-01-01T13:01:45+02:00 Bucharest,289ppb
2025-01-01T13:11:45+02:00 Bucharest,300ppb
2025-01-01T13:15:00+02:00 Bucharest,300ppb
2025-01-01T13:21:45+02:00 Bucharest,298ppb
2025-01-01T13:30:00+02:00 Bucharest,298ppb
2025-01-01T13:31:45+02:00 Bucharest,275ppb
2025-01-01T13:36:45+02:00 Bucharest,247ppb
2025-01-01T13:45:00+02:00 Bucharest,247ppb
2025-01-01T13:46:45+02:00 Bucharest,241ppb
2025-01-01T13:51:45+02:00 Bucharest,216ppb
2025-01-01T14:00:00+02:00 Bucharest,216ppb
2025-01-01T14:06:45+02:00 Bucharest,152ppb
2025-01-01T14:11:45+02:00 Bucharest,124ppb
2025-01-01T14:15:00+02:00 Bucharest,124ppb
2025-01-01T14:16:45+02:00 Bucharest,112ppb
2025-01-01T14:26:44+02:00 Bucharest,140ppb
2025-01-01T14:30:00+02:00 Bucharest,140ppb
2025-01-01T14:36:45+02:00 Bucharest,154ppb
2025-01-01T14:45:00+02:00 Bucharest,154ppb
2025-01-01T14:56:45+02:00 Bucharest,165ppb
2025-01-01T15:00:00+02:00 Bucharest,165ppb
2025-01-01T15:01:45+02:00 Bucharest,182ppb
2025-01-01T15:11:45+02:00 Bucharest,175ppb
2025-01-01T15:15:00+02:00 Bucharest,175ppb
2025-01-01T15:26:45+02:00 Bucharest,102ppb
2025-01-01T15:30:00+02:00 Bucharest,102ppb
2025-01-01T15:36:45+02:00 Bucharest,142ppb
2025-01-01T15:45:00+02:00 Bucharest,142ppb
2025-01-01T15:46:45+02:00 Bucharest,206ppb
2025-01-01T15:51:45+02:00 Bucharest,208ppb
2025-01-01T16:00:00+02:00 Bucharest,208ppb
2025-01-01T16:01:45+02:00 Bucharest,109ppb
2025-01-01T16:06:45+02:00 Bucharest,100ppb
2025-01-01T16:15:00+02:00 Bucharest,100ppb
2025-01-01T16:30:00+02:00 Bucharest,100ppb
2025-01-01T16:45:00+02:00 Bucharest,100ppb
2025-01-01T17:00:00+02:00 Bucharest,100ppb
2025-01-01T17:15:00+02:00 Bucharest,100ppb
2025-01-01T17:30:00+02:00 Bucharest,100ppb
2025-01-01T17:45:00+02:00 Bucharest,100ppb
2025-01-01T18:00:00+02:00 Bucharest,100ppb
2025-01-01T18:15:00+02:00 Bucharest,100ppb
2025-01-01T18:21:45+02:00 Bucharest,103ppb
2025-01-01T18:30:00+02:00 Bucharest,103ppb
2025-01-01T18:36:45+02:00 Bucharest,200ppb
2025-01-01T18:45:00+02:00 Bucharest,200ppb
2025-01-01T18:51:45+02:00 Bucharest,226ppb
2025-01-01T19:00:00+02:00 Bucharest,226ppb
2025-01-01T19:11:45+02:00 Bucharest,100ppb
2025-01-01T19:15:00+02:00 Bucharest,100ppb
2025-01-01T19:30:00+02:00 Bucharest,100ppb
2025-01-01T19:45:00+02:00 Bucharest,100ppb
2025-01-01T20:00:00+02:00 Bucharest,100ppb
2025-01-01T20:15:00+02:00 Bucharest,100ppb
2025-01-01T20:30:00+02:00 Bucharest,100ppb
2025-01-01T20:41:45+02:00 Bucharest,161ppb
2025-01-01T20:45:00+02:00 Bucharest,161ppb
2025-01-01T20:51:45+02:00 Bucharest,182ppb
2025-01-01T21:00:00+02:00 Bucharest,182ppb
2025-01-01T21:01:45+02:00 Bucharest,191ppb
2025-01-01T21:11:45+02:00 Bucharest,214ppb
2025-01-01T21:15:00+02:00 Bucharest,214ppb
2025-01-01T21:16:45+02:00 Bucharest,229ppb
2025-01-01T21:30:00+02:00 Bucharest,229ppb
2025-01-01T21:31:45+02:00 Bucharest,269ppb
2025-01-01T21:41:45+02:00 Bucharest,278ppb
2025-01-01T21:45:00+02:00 Bucharest,278ppb
2025-01-01T22:00:00+02:00 Bucharest,278ppb
2025-01-01T22:06:45+02:00 Bucharest,187ppb
2025-01-01T22:15:00+02:00 Bucharest,187ppb
2025-01-01T22:16:45+02:00 Bucharest,145ppb
2025-01-01T22:30:00+02:00 Bucharest,145ppb
2025-01-01T22:31:45+02:00 Bucharest,100ppb
2025-01-01T22:45:00+02:00 Bucharest,100ppb
2025-01-01T23:00:00+02:00 Bucharest,100ppb
2025-01-01T23:15:00+02:00 Bucharest,100ppb
2025-01-01T23:16:45+02:00 Bucharest,137ppb
2025-01-01T23:30:00+02:00 Bucharest,137ppb
2025-01-01T23:45:00+02:00 Bucharest,137ppb
2025-01-01T23:46:45+02:00 Bucharest,189ppb
2025-01-01T23:56:45+02:00 Bucharest,242ppb
2025-01-02T00:00:00+02:00 Bucharest,242ppb
2025-01-02T00:01:45+02:00 Bucharest,277ppb
2025-01-02T00:06:45+02:00 Bucharest,306ppb
2025-01-02T00:15:00+02:00 Bucharest,306ppb
2025-01-02T00:16:45+02:00 Bucharest,352ppb
2025-01-02T00:30:00+02:00 Bucharest,352ppb
2025-01-02T00:36:45+02:00 Bucharest,423ppb
2025-01-02T00:41:45+02:00 Bucharest,435ppb
2025-01-02T00:45:00+02:00 Bucharest,435ppb
2025-01-02T00:51:45+02:00 Bucharest,452ppb
2025-01-02T01:00:00+02:00 Bucharest,452ppb
2025-01-02T01:06:45+02:00 Bucharest,472ppb
2025-01-02T01:11:45+02:00 Bucharest,475ppb
2025-01-02T01:15:00+02:00 Bucharest,475ppb
2025-01-02T01:21:45+02:00 Bucharest,481ppb
2025-01-02T01:26:45+02:00 Bucharest,486ppb
2025-01-02T01:30:00+02:00 Bucharest,486ppb
2025-01-02T01:41:45+02:00 Bucharest,489ppb
2025-01-02T01:45:00+02:00 Bucharest,489ppb
2025-01-02T01:56:45+02:00 Bucharest,483ppb
